T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,92.200000,97.900000,4.335500,4.805250
21.000000,15,94.400000,97.700000,4.354000,4.826750
22.000000,15,92.000000,97.700000,4.385500,4.895000
23.000000,15,94.500000,97.800000,4.551500,5.067000
24.000000,15,92.400000,97.400000,4.612750,5.124000
25.000000,15,92.300000,98.200000,4.662500,5.193250
26.000000,15,92.800000,97.200000,4.701500,5.239250
27.000000,15,94.200000,97.800000,4.926750,5.468500
28.000000,15,92.400000,97.600000,4.872250,5.433750
29.000000,15,93.200000,98.500000,4.952000,5.519250
30.000000,15,92.700000,98.000000,5.052750,5.612250
31.000000,15,92.500000,97.400000,5.180750,5.720250
32.000000,15,92.800000,97.100000,5.433750,5.941500
33.000000,15,93.100000,97.800000,5.435250,6.009500
34.000000,15,93.500000,97.500000,5.563000,6.128750
35.000000,15,91.700000,97.500000,5.703000,6.252250
36.000000,15,93.000000,97.700000,5.791500,6.331250
37.000000,15,92.300000,98.100000,5.812000,6.347500
38.000000,15,92.400000,97.200000,6.039750,6.557000
39.000000,15,92.500000,97.800000,6.221250,6.749250
40.000000,15,93.000000,97.500000,6.330500,6.851500
41.000000,15,92.800000,97.300000,6.363000,6.911750
42.000000,15,92.700000,97.300000,6.540750,7.075250
43.000000,15,92.400000,96.700000,6.657750,7.166500
44.000000,15,92.900000,97.600000,6.857500,7.345750
45.000000,15,91.800000,96.700000,7.002250,7.527000
46.000000,15,91.500000,97.100000,7.016750,7.562250
47.000000,15,93.100000,97.200000,7.214000,7.684000
48.000000,15,93.800000,98.300000,7.488250,7.996000
49.000000,15,91.800000,98.100000,7.562000,8.089250
50.000000,15,93.000000,98.200000,7.637000,8.107000
51.000000,15,92.900000,97.600000,7.845750,8.343500
52.000000,15,93.300000,98.000000,8.006750,8.485250
53.000000,15,93.500000,98.000000,8.125000,8.602750
54.000000,15,94.400000,97.800000,8.344250,8.815500
55.000000,15,90.800000,97.000000,8.290000,8.860250
56.000000,15,92.600000,97.700000,8.459750,9.008250
57.000000,15,92.900000,97.100000,8.650250,9.161250
58.000000,15,92.700000,96.900000,8.855750,9.398500
59.000000,15,93.000000,98.000000,9.073000,9.635500
60.000000,15,94.200000,97.600000,9.233000,9.762250
61.000000,15,94.300000,98.500000,9.513500,10.028250
62.000000,15,93.800000,98.400000,9.512500,10.023250
63.000000,15,93.300000,97.900000,9.873750,10.413250
64.000000,15,92.700000,96.800000,9.937750,10.515750
65.000000,15,93.200000,98.000000,10.148750,10.797250
66.000000,15,93.500000,98.000000,10.305500,10.890250
67.000000,15,92.800000,98.000000,10.541500,11.166250
68.000000,15,92.800000,97.600000,10.509250,11.143000
69.000000,15,93.200000,97.200000,10.624500,11.239000
70.000000,15,93.700000,98.600000,11.046500,11.725750
71.000000,15,93.800000,97.900000,11.219000,11.873250
72.000000,15,92.800000,98.000000,11.420500,12.144000
73.000000,15,94.100000,97.600000,11.627750,12.314500
74.000000,15,93.700000,98.100000,11.670000,12.347750
75.000000,15,93.900000,98.000000,11.971500,12.658500
76.000000,15,92.500000,97.600000,11.822500,12.589750
77.000000,15,93.200000,97.800000,12.346250,13.100250
78.000000,15,93.300000,97.300000,12.506000,13.325500
79.000000,15,92.600000,97.600000,12.709000,13.522750
80.000000,15,93.200000,97.300000,12.731000,13.574750
81.000000,15,92.400000,97.700000,13.322000,14.166500
82.000000,15,93.900000,98.500000,13.238000,14.097000
83.000000,15,93.700000,97.400000,13.507750,14.320500
84.000000,15,92.600000,98.000000,13.581750,14.447500
85.000000,15,91.800000,96.600000,13.842250,14.831250
86.000000,15,92.700000,97.600000,14.109000,15.042250
87.000000,15,93.000000,97.200000,14.046750,14.993000
88.000000,15,92.300000,97.400000,14.204500,15.244000
89.000000,15,92.600000,97.100000,14.539000,15.590250
90.000000,15,94.000000,98.800000,15.307250,16.338750
91.000000,15,92.300000,96.700000,14.979750,16.097250
92.000000,15,93.700000,97.600000,15.340250,16.452500
93.000000,15,93.200000,97.600000,15.970750,17.063500
94.000000,15,92.600000,97.400000,15.936500,17.152000
95.000000,15,93.200000,96.900000,15.834250,17.050500
96.000000,15,92.600000,96.700000,16.237000,17.403500
97.000000,15,92.200000,97.000000,16.561750,17.772000
98.000000,15,91.200000,96.800000,16.567750,17.845000
99.000000,15,93.800000,97.700000,16.843500,18.207000
100.000000,15,92.100000,96.700000,17.254750,18.586750
101.000000,15,92.600000,97.600000,17.428000,18.796000
102.000000,15,93.500000,97.800000,17.983500,19.466750
103.000000,15,91.200000,96.200000,17.704750,19.336500
104.000000,15,93.300000,96.600000,18.312250,19.777000
105.000000,15,92.800000,96.900000,18.232750,19.730500
106.000000,15,91.600000,96.600000,18.530000,20.176000
107.000000,15,92.200000,96.000000,18.547750,20.160000
108.000000,15,92.900000,97.600000,19.054000,20.662750
109.000000,15,92.500000,96.800000,19.485000,21.157000
110.000000,15,93.000000,97.600000,19.963750,21.734750
111.000000,15,93.500000,97.000000,20.047000,21.774500
112.000000,15,92.000000,97.500000,20.592250,22.488500
113.000000,15,92.100000,96.400000,20.010250,21.914750
114.000000,15,93.200000,97.600000,21.173750,23.188750
115.000000,15,92.400000,97.000000,21.067750,23.038250
116.000000,15,91.300000,97.100000,21.085000,23.137250
117.000000,15,92.500000,97.400000,21.653750,23.736500
118.000000,15,91.700000,96.400000,21.564750,23.623250
119.000000,15,92.000000,96.400000,22.163500,24.291000
120.000000,15,91.400000,96.700000,21.963250,24.188000
121.000000,15,91.900000,96.700000,21.827500,24.089500
122.000000,15,91.300000,96.300000,22.706000,24.991750
123.000000,15,91.900000,95.200000,23.216500,25.693750
124.000000,15,91.300000,96.100000,23.407750,25.777000
125.000000,15,90.300000,95.800000,22.772000,25.224750
126.000000,15,92.200000,97.100000,23.590250,26.163250
127.000000,15,92.100000,96.900000,24.046500,26.748500
128.000000,15,92.200000,97.100000,24.887500,27.449000
129.000000,15,91.600000,96.200000,24.904250,27.585750
130.000000,15,91.300000,95.800000,24.982750,27.732000
131.000000,15,91.500000,95.600000,25.555750,28.250500
132.000000,15,91.800000,95.700000,25.937500,28.838250
133.000000,15,91.800000,96.100000,26.068500,29.012500
134.000000,15,91.500000,96.700000,26.304250,29.350000
135.000000,15,92.700000,97.000000,26.311000,29.308000
136.000000,15,91.800000,96.900000,26.444500,29.590250
137.000000,15,94.400000,97.900000,27.707500,30.876500
