T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,97.000000,98.900000,1.911750,2.015250
21.000000,15,96.500000,98.500000,2.013000,2.080000
22.000000,15,95.900000,98.200000,2.103500,2.138000
23.000000,15,97.000000,98.500000,2.198750,2.206000
24.000000,15,96.900000,98.400000,2.268250,2.248750
25.000000,15,97.000000,98.400000,2.370000,2.328500
26.000000,15,95.800000,97.600000,2.466750,2.397250
27.000000,15,96.500000,97.800000,2.544000,2.448000
28.000000,15,97.300000,98.400000,2.656000,2.529000
29.000000,15,97.500000,98.400000,2.756000,2.580250
30.000000,15,98.200000,98.300000,2.836500,2.638250
31.000000,15,97.300000,97.700000,2.911750,2.680750
32.000000,15,98.500000,98.800000,3.033000,2.764000
33.000000,15,98.500000,98.700000,3.095500,2.808500
34.000000,15,97.700000,98.500000,3.186500,2.878500
35.000000,15,98.200000,98.400000,3.279000,2.930500
36.000000,15,98.900000,99.000000,3.370000,3.003250
37.000000,15,97.900000,98.500000,3.460000,3.054750
38.000000,15,98.000000,98.000000,3.508250,3.093500
39.000000,15,97.600000,98.000000,3.585250,3.144750
40.000000,15,98.100000,98.300000,3.702750,3.222000
41.000000,15,98.600000,98.400000,3.840750,3.316500
42.000000,15,98.200000,98.500000,3.903750,3.352500
43.000000,15,99.000000,98.900000,3.988750,3.410250
44.000000,15,98.900000,98.600000,4.041000,3.451000
45.000000,15,98.500000,99.200000,4.152000,3.535250
46.000000,15,97.700000,97.800000,4.195000,3.554000
47.000000,15,98.100000,98.000000,4.275750,3.606250
48.000000,15,98.300000,98.500000,4.406000,3.707250
49.000000,15,98.500000,97.900000,4.461750,3.741250
50.000000,15,98.700000,98.600000,4.629250,3.845750
51.000000,15,97.900000,97.700000,4.660250,3.881750
52.000000,15,98.400000,98.600000,4.733500,3.933500
53.000000,15,98.500000,98.400000,4.853000,4.018250
54.000000,15,98.200000,98.000000,4.945750,4.070500
55.000000,15,98.800000,98.600000,5.074250,4.155250
56.000000,15,98.600000,99.200000,5.117500,4.198250
57.000000,15,98.800000,98.500000,5.256750,4.287750
58.000000,15,98.500000,98.200000,5.305000,4.317000
59.000000,15,98.800000,98.400000,5.365250,4.365750
60.000000,15,98.500000,98.600000,5.504500,4.464000
61.000000,15,98.800000,98.500000,5.627000,4.540000
62.000000,15,98.500000,98.300000,5.695750,4.584750
63.000000,15,98.500000,97.800000,5.822000,4.676250
64.000000,15,98.600000,98.300000,5.920250,4.743250
65.000000,15,98.600000,98.300000,6.010000,4.816250
66.000000,15,99.200000,98.600000,6.087500,4.864250
67.000000,15,98.900000,98.600000,6.201500,4.942000
68.000000,15,98.200000,98.100000,6.301250,5.016750
69.000000,15,98.500000,98.400000,6.413500,5.085500
70.000000,15,98.600000,98.600000,6.550750,5.191250
71.000000,15,98.600000,98.100000,6.577250,5.207250
72.000000,15,98.300000,98.400000,6.677750,5.301000
73.000000,15,99.000000,99.000000,6.869250,5.401750
74.000000,15,99.000000,98.300000,6.952500,5.474250
75.000000,15,99.200000,98.700000,7.083250,5.546750
76.000000,15,98.900000,98.100000,7.103000,5.582000
77.000000,15,98.500000,98.200000,7.239000,5.680750
78.000000,15,98.600000,98.000000,7.359000,5.759750
79.000000,15,98.400000,98.200000,7.477500,5.856000
80.000000,15,99.100000,98.600000,7.556750,5.925500
81.000000,15,98.500000,98.000000,7.750000,6.031000
82.000000,15,99.100000,98.600000,7.885000,6.150750
83.000000,15,98.500000,97.900000,7.951000,6.208250
84.000000,15,98.900000,98.300000,8.121500,6.317750
85.000000,15,99.200000,99.000000,8.293000,6.431250
86.000000,15,99.000000,98.200000,8.378750,6.511000
87.000000,15,99.000000,98.600000,8.553500,6.622250
88.000000,15,98.600000,98.200000,8.610000,6.668500
89.000000,15,98.800000,98.300000,8.768750,6.789250
90.000000,15,99.000000,98.500000,8.888500,6.892250
91.000000,15,99.000000,98.600000,9.121000,7.028500
92.000000,15,99.200000,98.200000,9.191250,7.104750
93.000000,15,98.800000,98.200000,9.327000,7.202750
94.000000,15,98.900000,98.100000,9.467750,7.298750
95.000000,15,99.000000,98.500000,9.625000,7.408250
96.000000,15,98.400000,97.800000,9.736250,7.505000
97.000000,15,99.000000,98.500000,9.917000,7.640750
98.000000,15,98.300000,97.800000,10.042750,7.731250
99.000000,15,98.500000,98.100000,10.167250,7.832500
100.000000,15,99.300000,98.700000,10.318750,7.934250
101.000000,15,99.000000,98.300000,10.496500,8.051250
102.000000,15,98.900000,98.300000,10.616500,8.154750
103.000000,15,99.300000,98.800000,10.887750,8.340250
104.000000,15,98.800000,97.800000,10.936750,8.397500
105.000000,15,99.200000,98.600000,11.206750,8.561000
106.000000,15,98.600000,98.000000,11.257250,8.643250
107.000000,15,99.300000,98.500000,11.525750,8.808500
108.000000,15,99.400000,98.500000,11.648750,8.939500
109.000000,15,98.400000,97.700000,11.779000,8.985000
110.000000,15,99.000000,98.500000,11.862750,9.104250
111.000000,15,99.300000,98.400000,12.068500,9.239250
112.000000,15,99.200000,97.600000,12.235000,9.376750
113.000000,15,99.100000,98.000000,12.467750,9.513250
114.000000,15,99.200000,98.400000,12.619500,9.640000
115.000000,15,98.900000,97.600000,12.717000,9.732750
116.000000,15,98.300000,97.800000,12.890250,9.869750
117.000000,15,98.700000,97.600000,13.129000,10.013750
118.000000,15,98.800000,97.000000,13.211000,10.127000
119.000000,15,99.000000,98.000000,13.440750,10.267250
120.000000,15,99.500000,98.500000,13.539750,10.340500
121.000000,15,98.800000,97.100000,13.786000,10.533000
122.000000,15,99.100000,98.800000,13.898000,10.653000
123.000000,15,98.700000,97.000000,14.089250,10.766750
124.000000,15,99.000000,98.400000,14.336500,10.959250
125.000000,15,98.400000,97.100000,14.533250,11.084000
126.000000,15,99.000000,97.900000,14.606500,11.185500
127.000000,15,98.600000,97.200000,14.805000,11.323500
128.000000,15,98.200000,97.300000,15.052500,11.522750
129.000000,15,98.300000,97.500000,15.227500,11.647250
130.000000,15,98.300000,97.400000,15.449750,11.817500
131.000000,15,98.400000,96.800000,15.490250,11.877250
132.000000,15,99.200000,98.000000,15.822500,12.083500
133.000000,15,98.800000,96.800000,15.925750,12.205250
134.000000,15,98.800000,97.600000,16.131250,12.342500
135.000000,15,98.700000,97.700000,16.329250,12.518750
136.000000,15,98.200000,97.200000,16.578750,12.672250
137.000000,15,98.600000,96.900000,16.733500,12.801750
138.000000,15,98.000000,96.800000,16.919500,12.953500
139.000000,15,99.100000,97.900000,17.153750,13.141250
140.000000,15,99.300000,97.300000,17.346750,13.265250
141.000000,15,98.000000,96.900000,17.504500,13.374250
142.000000,15,98.900000,97.900000,17.866000,13.674000
143.000000,15,98.500000,97.500000,17.815250,13.682750
144.000000,15,98.400000,97.000000,18.061500,13.858000
145.000000,15,98.600000,97.500000,18.299250,14.034750
146.000000,15,98.800000,97.400000,18.630000,14.285250
147.000000,15,99.100000,97.400000,18.766750,14.340500
148.000000,15,98.600000,97.300000,18.895500,14.524250
149.000000,15,98.500000,96.800000,19.099500,14.679250
150.000000,15,99.400000,97.800000,19.444000,14.884500
151.000000,15,99.000000,97.000000,19.517000,14.982250
152.000000,15,99.200000,97.900000,19.750750,15.159750
153.000000,15,98.300000,96.900000,20.034750,15.338750
154.000000,15,98.400000,96.600000,20.286750,15.573500
155.000000,15,98.500000,97.300000,20.437500,15.710750
156.000000,15,98.400000,96.200000,20.609250,15.853250
157.000000,15,99.100000,96.900000,20.917500,16.123500
158.000000,15,98.900000,97.300000,21.114750,16.228250
159.000000,15,98.000000,96.100000,21.317750,16.370000
160.000000,15,98.800000,97.400000,21.657250,16.585250
161.000000,15,98.500000,96.900000,21.727000,16.716250
162.000000,15,99.000000,97.400000,21.863500,16.915500
163.000000,15,98.800000,97.100000,22.281500,17.131500
164.000000,15,98.300000,96.300000,22.498250,17.313000
165.000000,15,98.200000,96.400000,22.787000,17.558500
166.000000,15,99.000000,97.200000,22.805250,17.554000
167.000000,15,98.800000,97.100000,23.181000,17.821500
168.000000,15,98.500000,96.800000,23.337250,18.042250
169.000000,15,98.300000,97.300000,23.481250,18.205750
170.000000,15,99.100000,97.100000,23.928000,18.422000
171.000000,15,98.900000,97.100000,23.985750,18.538000
172.000000,15,98.400000,96.900000,24.396250,18.848000
173.000000,15,98.800000,97.300000,24.586250,18.977250
174.000000,15,98.400000,96.500000,24.725500,19.076750
175.000000,15,98.700000,96.700000,25.141000,19.349250
176.000000,15,98.600000,96.500000,25.201500,19.463500
177.000000,15,98.900000,97.500000,25.594750,19.811500
178.000000,15,98.600000,96.900000,25.708500,19.897500
179.000000,15,98.600000,96.900000,26.082500,20.169500
180.000000,15,98.900000,97.000000,26.206250,20.321500
181.000000,15,98.100000,96.100000,26.481250,20.534750
182.000000,15,98.800000,97.200000,26.532250,20.607250
183.000000,15,98.700000,96.300000,27.114500,20.982250
184.000000,15,98.600000,96.300000,27.172250,21.046000
185.000000,15,98.000000,96.300000,27.391000,21.269500
186.000000,15,98.300000,96.600000,27.797250,21.589750
187.000000,15,98.700000,96.800000,28.118250,21.831500
188.000000,15,97.900000,96.100000,28.346000,22.000250
189.000000,15,98.500000,95.600000,28.631750,22.226000
190.000000,15,98.800000,96.400000,28.750250,22.368250
191.000000,15,99.300000,97.200000,28.917250,22.490500
192.000000,15,98.800000,96.300000,29.514750,22.967000
193.000000,15,98.600000,96.300000,29.768750,23.052000
194.000000,15,98.900000,97.300000,29.838500,23.227250
195.000000,15,97.800000,94.800000,29.929750,23.322500
196.000000,15,99.000000,96.900000,30.295500,23.591000
197.000000,15,98.900000,97.000000,30.913000,23.977250
198.000000,15,99.000000,97.100000,30.907750,24.058250
199.000000,15,98.200000,95.800000,31.223500,24.351250
200.000000,15,97.800000,95.200000,31.566250,24.549250
201.000000,15,98.400000,95.500000,31.724750,24.692500
202.000000,15,98.600000,96.200000,31.908750,24.954500
203.000000,15,98.700000,96.800000,32.486000,25.310000
204.000000,15,98.300000,97.200000,32.707000,25.464750
205.000000,15,98.800000,96.600000,32.981750,25.782750
206.000000,15,98.600000,96.600000,33.116250,25.890250
207.000000,15,98.900000,96.800000,33.378750,26.077000
208.000000,15,99.100000,95.600000,33.644750,26.297250
209.000000,15,98.600000,96.700000,34.097750,26.674000
210.000000,15,98.100000,95.900000,34.216750,26.735750
211.000000,15,98.400000,96.800000,34.602000,27.031750
212.000000,15,98.600000,97.000000,34.858000,27.272000
213.000000,15,98.500000,97.100000,35.145500,27.495750
214.000000,15,99.300000,96.600000,35.641000,27.864750
215.000000,15,99.300000,97.100000,35.688250,27.939000
216.000000,15,98.800000,95.800000,35.959500,28.206500
217.000000,15,98.700000,96.400000,36.513250,28.570250
218.000000,15,98.000000,94.800000,36.681750,28.724500
