T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,95.900000,97.300000,2.102250,2.265000
21.000000,15,96.000000,97.900000,2.186750,2.321500
22.000000,15,95.100000,96.500000,2.324000,2.425750
23.000000,15,95.300000,96.600000,2.397000,2.480500
24.000000,15,96.700000,97.400000,2.490750,2.544500
25.000000,15,97.800000,98.500000,2.555000,2.596250
26.000000,15,96.800000,96.900000,2.668250,2.681750
27.000000,15,96.600000,97.300000,2.774000,2.752000
28.000000,15,97.600000,96.300000,2.877750,2.807500
29.000000,15,97.100000,97.000000,2.992750,2.899750
30.000000,15,97.200000,97.800000,3.042250,2.955000
31.000000,15,97.600000,97.200000,3.175250,3.024750
32.000000,15,97.700000,97.300000,3.230000,3.079500
33.000000,15,97.100000,97.300000,3.323500,3.142000
34.000000,15,97.000000,96.600000,3.442250,3.233250
35.000000,15,97.200000,96.300000,3.516750,3.287750
36.000000,15,97.500000,97.000000,3.638000,3.369000
37.000000,15,98.000000,97.600000,3.716250,3.432750
38.000000,15,97.100000,97.000000,3.758000,3.454750
39.000000,15,97.800000,96.900000,3.892000,3.552250
40.000000,15,97.700000,96.900000,3.946500,3.610750
41.000000,15,97.700000,95.700000,4.057750,3.688500
42.000000,15,98.000000,95.200000,4.138750,3.749750
43.000000,15,98.100000,97.300000,4.228250,3.819250
44.000000,15,97.800000,97.100000,4.313000,3.877000
45.000000,15,97.600000,96.700000,4.428500,3.959250
46.000000,15,97.500000,96.400000,4.507000,4.031750
47.000000,15,98.100000,96.200000,4.616500,4.092750
48.000000,15,98.500000,97.500000,4.750000,4.194500
49.000000,15,98.300000,97.300000,4.812750,4.246500
50.000000,15,98.600000,97.400000,4.931250,4.337250
51.000000,15,98.000000,96.600000,5.027750,4.388500
52.000000,15,98.300000,96.200000,5.074500,4.433000
53.000000,15,98.200000,97.000000,5.225000,4.545500
54.000000,15,97.900000,97.300000,5.269500,4.579000
55.000000,15,97.800000,95.300000,5.386750,4.664250
56.000000,15,97.800000,97.100000,5.491250,4.745750
57.000000,15,97.800000,95.500000,5.630250,4.856000
58.000000,15,98.900000,97.300000,5.767500,4.969750
59.000000,15,98.100000,96.500000,5.836000,5.022250
60.000000,15,98.300000,97.400000,5.876000,5.034000
61.000000,15,98.000000,96.500000,6.012750,5.149000
62.000000,15,98.400000,97.000000,6.147750,5.248500
63.000000,15,97.600000,95.600000,6.250500,5.332750
64.000000,15,98.500000,96.800000,6.369000,5.418750
65.000000,15,97.900000,95.900000,6.403250,5.437750
66.000000,15,97.700000,96.500000,6.576500,5.570500
67.000000,15,98.500000,96.400000,6.610250,5.603500
68.000000,15,98.000000,96.600000,6.810000,5.746500
69.000000,15,98.100000,96.700000,6.900750,5.823750
70.000000,15,98.500000,96.500000,6.974500,5.867000
71.000000,15,97.900000,96.000000,7.137000,5.998750
72.000000,15,98.100000,96.300000,7.201500,6.042750
73.000000,15,97.600000,96.200000,7.376750,6.196750
74.000000,15,98.800000,97.700000,7.489750,6.248500
75.000000,15,98.500000,97.700000,7.618500,6.352250
76.000000,15,97.900000,96.000000,7.683250,6.392750
77.000000,15,98.700000,97.000000,7.853000,6.524000
78.000000,15,98.600000,96.800000,7.920000,6.578500
79.000000,15,97.800000,96.000000,8.155000,6.765000
80.000000,15,97.700000,96.100000,8.246250,6.823750
81.000000,15,98.300000,96.900000,8.334500,6.889750
82.000000,15,98.400000,96.700000,8.511000,7.023250
83.000000,15,98.500000,97.100000,8.647500,7.153000
84.000000,15,98.300000,96.500000,8.775250,7.243500
85.000000,15,98.700000,97.400000,8.930750,7.391500
86.000000,15,98.500000,96.000000,9.009500,7.406000
87.000000,15,98.900000,97.600000,9.112250,7.511000
88.000000,15,97.400000,95.600000,9.335250,7.672750
89.000000,15,98.800000,97.400000,9.450000,7.760000
90.000000,15,98.100000,96.700000,9.565250,7.860500
91.000000,15,98.600000,96.700000,9.712750,7.966500
92.000000,15,97.800000,96.300000,9.833750,8.047000
93.000000,15,98.000000,96.500000,10.002000,8.192000
94.000000,15,98.800000,96.700000,10.172500,8.303750
95.000000,15,98.600000,96.600000,10.337000,8.466500
96.000000,15,98.900000,97.400000,10.499250,8.585250
97.000000,15,98.800000,97.500000,10.679750,8.767250
98.000000,15,98.800000,97.600000,10.802000,8.814750
99.000000,15,99.000000,97.200000,10.899000,8.902250
100.000000,15,98.000000,96.200000,11.111500,9.065000
101.000000,15,99.000000,97.600000,11.239000,9.141250
102.000000,15,98.300000,96.200000,11.433500,9.334750
103.000000,15,98.300000,96.900000,11.488500,9.339250
104.000000,15,98.800000,96.600000,11.753000,9.568000
105.000000,15,98.600000,97.200000,11.944000,9.718500
106.000000,15,98.400000,96.900000,12.018000,9.771500
107.000000,15,98.200000,96.300000,12.127500,9.880000
108.000000,15,98.900000,97.500000,12.396000,10.075500
109.000000,15,98.600000,97.000000,12.578750,10.190500
110.000000,15,98.800000,97.300000,12.685250,10.294500
111.000000,15,98.900000,97.000000,12.930750,10.519250
112.000000,15,99.200000,96.600000,13.028750,10.545500
113.000000,15,98.900000,96.700000,13.202500,10.728500
114.000000,15,98.600000,96.200000,13.385000,10.870500
115.000000,15,98.000000,96.500000,13.569000,11.008750
116.000000,15,98.500000,97.300000,13.660500,11.040750
117.000000,15,98.600000,96.400000,13.878250,11.247500
118.000000,15,98.200000,95.900000,14.073000,11.412500
119.000000,15,98.300000,96.400000,14.298250,11.593500
120.000000,15,98.900000,97.200000,14.322500,11.605750
121.000000,15,98.500000,96.900000,14.610250,11.815750
122.000000,15,98.900000,97.200000,14.884250,12.004750
123.000000,15,98.600000,96.500000,14.953500,12.099500
124.000000,15,98.600000,96.300000,15.094250,12.210250
125.000000,15,98.600000,96.700000,15.245500,12.330000
126.000000,15,97.900000,95.700000,15.495250,12.516500
127.000000,15,98.500000,97.600000,15.782000,12.777500
128.000000,15,97.900000,96.100000,15.871500,12.820750
129.000000,15,98.200000,96.400000,16.064250,12.961750
130.000000,15,98.400000,96.800000,16.246750,13.089000
131.000000,15,98.700000,96.700000,16.436500,13.250000
132.000000,15,98.000000,96.200000,16.639000,13.421750
133.000000,15,98.500000,96.900000,16.770000,13.560000
134.000000,15,98.600000,96.900000,17.027500,13.733000
135.000000,15,98.400000,96.800000,17.144000,13.853500
136.000000,15,98.500000,96.600000,17.414750,14.054750
137.000000,15,98.400000,96.500000,17.659750,14.219750
138.000000,15,97.700000,95.700000,17.743250,14.314000
139.000000,15,99.000000,96.700000,18.059750,14.545250
140.000000,15,98.800000,97.100000,18.327750,14.778000
141.000000,15,98.400000,96.700000,18.473500,14.903500
142.000000,15,98.200000,95.700000,18.542250,14.908000
143.000000,15,97.800000,96.100000,18.833000,15.192250
144.000000,15,98.300000,97.000000,19.007250,15.344500
145.000000,15,98.900000,96.500000,19.287000,15.555500
146.000000,15,98.100000,96.000000,19.506500,15.738750
147.000000,15,98.600000,97.400000,19.644250,15.833750
148.000000,15,98.100000,95.700000,19.861000,16.007750
149.000000,15,98.300000,96.600000,20.025500,16.136000
150.000000,15,98.300000,96.200000,20.247250,16.337500
151.000000,15,97.900000,96.600000,20.359250,16.389250
152.000000,15,98.700000,96.500000,20.703500,16.684000
153.000000,15,98.500000,97.500000,20.945250,16.936500
154.000000,15,98.900000,97.300000,21.182750,17.080750
155.000000,15,98.900000,97.200000,21.232000,17.128500
156.000000,15,98.200000,96.200000,21.528000,17.364250
157.000000,15,97.200000,95.600000,21.809250,17.615000
158.000000,15,98.700000,96.500000,22.111500,17.828750
159.000000,15,98.800000,96.900000,22.320000,18.038750
160.000000,15,98.200000,96.700000,22.539000,18.177250
161.000000,15,99.000000,96.700000,22.735000,18.311250
162.000000,15,97.600000,96.100000,22.811750,18.415500
163.000000,15,98.800000,96.700000,23.164500,18.686500
164.000000,15,97.700000,95.900000,23.474250,18.893500
165.000000,15,98.300000,95.400000,23.688500,19.114500
166.000000,15,97.900000,96.400000,23.869000,19.262750
167.000000,15,97.800000,95.700000,24.051250,19.428750
168.000000,15,98.400000,96.500000,24.366000,19.612250
169.000000,15,98.500000,95.900000,24.546500,19.797750
170.000000,15,98.800000,96.400000,24.848000,20.068750
171.000000,15,98.700000,95.800000,24.908500,20.104250
172.000000,15,98.800000,96.900000,25.245250,20.339250
173.000000,15,98.000000,96.400000,25.555500,20.597250
174.000000,15,98.200000,96.100000,25.830000,20.752250
175.000000,15,98.600000,96.500000,26.002000,20.946000
176.000000,15,98.700000,95.800000,26.352500,21.247500
177.000000,15,98.700000,97.300000,26.408750,21.285250
178.000000,15,98.500000,97.300000,26.778750,21.601750
179.000000,15,97.700000,95.300000,27.110500,21.870750
180.000000,15,98.000000,96.900000,27.105750,21.837250
181.000000,15,98.500000,96.800000,27.355750,22.073750
182.000000,15,98.400000,96.400000,27.550750,22.258500
183.000000,15,98.400000,96.200000,28.035500,22.585500
184.000000,15,98.200000,96.300000,28.157750,22.726000
185.000000,15,98.100000,96.200000,28.654500,23.134500
186.000000,15,98.300000,96.400000,28.790500,23.169000
187.000000,15,97.300000,95.100000,29.209000,23.541000
188.000000,15,98.400000,95.700000,28.940750,23.403000
189.000000,15,98.100000,96.100000,29.436750,23.780750
190.000000,15,98.000000,95.000000,29.862250,24.109750
191.000000,15,99.000000,98.000000,30.045250,24.224500
192.000000,15,98.600000,97.200000,30.335500,24.519000
193.000000,15,98.600000,96.900000,30.456250,24.595000
194.000000,15,98.900000,96.900000,30.730250,24.807750
195.000000,15,98.800000,96.800000,31.019250,25.072750
196.000000,15,99.000000,96.500000,31.411250,25.316000
197.000000,15,98.200000,95.800000,31.549250,25.519250
198.000000,15,98.000000,95.800000,31.963500,25.793500
199.000000,15,98.700000,96.400000,32.224250,25.988250
200.000000,15,98.200000,95.600000,32.083750,25.955250
201.000000,15,98.600000,97.300000,32.748000,26.437500
