T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,94.600000,98.300000,3.505000,3.490000
21.000000,15,93.900000,98.100000,3.547500,3.548250
22.000000,15,94.400000,98.300000,3.684750,3.687750
23.000000,15,93.000000,98.000000,3.649500,3.697750
24.000000,15,93.300000,98.000000,3.730500,3.811000
25.000000,15,92.900000,97.300000,3.787250,3.875500
26.000000,15,93.000000,97.900000,3.862250,3.976000
27.000000,15,93.000000,97.800000,3.975000,4.052000
28.000000,15,93.300000,98.000000,3.940750,4.104000
29.000000,15,93.400000,99.000000,4.074000,4.205750
30.000000,15,92.100000,97.600000,4.159500,4.315250
31.000000,15,93.400000,97.600000,4.282500,4.429250
32.000000,15,92.200000,97.900000,4.373000,4.565250
33.000000,15,92.600000,98.000000,4.389250,4.581000
34.000000,15,92.900000,98.600000,4.543250,4.721500
35.000000,15,93.500000,98.000000,4.673000,4.805250
36.000000,15,93.000000,98.500000,4.742000,4.905750
37.000000,15,93.600000,98.800000,4.843500,5.040000
38.000000,15,92.200000,97.800000,4.898250,5.095500
39.000000,15,92.900000,98.700000,5.025000,5.216500
40.000000,15,92.500000,97.900000,5.099500,5.297750
41.000000,15,92.900000,98.100000,5.189250,5.385750
42.000000,15,94.600000,99.600000,5.354000,5.561750
43.000000,15,93.400000,98.200000,5.466500,5.642000
44.000000,15,92.200000,97.500000,5.617500,5.813250
45.000000,15,93.500000,98.400000,5.629000,5.838500
46.000000,15,92.800000,98.200000,5.728750,5.962750
47.000000,15,92.800000,97.700000,5.748250,6.000000
48.000000,15,92.900000,98.400000,5.961250,6.131750
49.000000,15,94.100000,98.100000,6.080750,6.226500
50.000000,15,94.300000,97.900000,6.126250,6.354500
51.000000,15,93.300000,98.500000,6.327000,6.494000
52.000000,15,94.400000,98.700000,6.519750,6.750750
53.000000,15,94.100000,98.700000,6.576000,6.799000
54.000000,15,93.100000,98.400000,6.757500,6.893000
55.000000,15,94.400000,98.900000,6.893250,7.089500
56.000000,15,93.500000,98.800000,6.920000,7.174250
57.000000,15,93.300000,98.900000,7.220250,7.410250
58.000000,15,93.800000,98.700000,7.245250,7.438750
59.000000,15,94.100000,98.500000,7.394500,7.537000
60.000000,15,94.800000,98.400000,7.504000,7.667500
61.000000,15,92.800000,97.300000,7.615250,7.766000
62.000000,15,92.900000,97.600000,7.774250,7.944000
63.000000,15,93.100000,97.800000,7.699000,7.940750
64.000000,15,93.500000,97.800000,7.903000,8.097000
65.000000,15,93.200000,98.800000,8.167250,8.337750
66.000000,15,94.300000,97.900000,8.293500,8.481000
