T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,92.600000,98.200000,4.373000,4.709750
21.000000,15,95.000000,97.400000,4.383250,4.711250
22.000000,15,92.700000,97.100000,4.396500,4.777500
23.000000,15,94.800000,97.800000,4.563750,4.954750
24.000000,15,92.500000,96.800000,4.557750,4.969250
25.000000,15,92.100000,98.000000,4.562250,5.016500
26.000000,15,92.000000,97.200000,4.599250,5.073500
27.000000,15,93.200000,97.500000,4.795000,5.294250
28.000000,15,91.900000,97.000000,4.731500,5.264000
29.000000,15,92.100000,98.100000,4.761250,5.306750
30.000000,15,92.400000,97.500000,4.850750,5.408500
31.000000,15,92.000000,97.200000,4.946000,5.493750
32.000000,15,91.900000,96.200000,5.184750,5.727250
33.000000,15,91.800000,97.300000,5.163500,5.783000
34.000000,15,92.200000,96.700000,5.282500,5.898500
35.000000,15,90.800000,96.700000,5.401250,6.021750
36.000000,15,91.500000,97.200000,5.476000,6.098000
37.000000,15,91.200000,97.200000,5.470000,6.113000
38.000000,15,90.800000,96.800000,5.647500,6.292750
39.000000,15,91.400000,96.900000,5.825750,6.500000
40.000000,15,90.400000,96.800000,5.930750,6.622250
41.000000,15,90.600000,96.600000,5.963750,6.678000
42.000000,15,90.300000,96.500000,6.118500,6.839250
43.000000,15,90.100000,95.700000,6.203750,6.936250
44.000000,15,90.300000,96.600000,6.409500,7.122500
45.000000,15,89.500000,95.900000,6.530250,7.298750
46.000000,15,89.300000,96.200000,6.559000,7.356750
47.000000,15,90.400000,96.200000,6.753750,7.488750
48.000000,15,90.900000,97.100000,6.955250,7.742250
49.000000,15,89.500000,96.600000,7.022750,7.853000
50.000000,15,90.400000,97.100000,7.118000,7.898500
51.000000,15,89.600000,96.400000,7.302750,8.117250
52.000000,15,91.400000,97.000000,7.485250,8.287250
53.000000,15,90.800000,97.300000,7.590750,8.410250
54.000000,15,92.100000,96.600000,7.771750,8.599750
55.000000,15,87.100000,95.100000,7.725000,8.657000
56.000000,15,90.500000,96.300000,7.909750,8.785250
57.000000,15,90.100000,96.400000,8.066500,8.955500
58.000000,15,90.800000,96.000000,8.321000,9.234250
59.000000,15,90.500000,96.300000,8.493750,9.444250
