T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,97.500000,99.000000,2.111500,2.170500
21.000000,15,96.300000,98.600000,2.211500,2.230750
22.000000,15,96.300000,98.500000,2.284250,2.280500
23.000000,15,96.800000,98.800000,2.400500,2.361250
24.000000,15,97.000000,98.500000,2.456250,2.389500
25.000000,15,96.700000,98.200000,2.586250,2.487250
26.000000,15,96.200000,97.600000,2.680250,2.557500
27.000000,15,97.000000,97.800000,2.735500,2.592000
28.000000,15,96.400000,97.800000,2.839250,2.661250
29.000000,15,97.400000,98.400000,2.944250,2.726500
30.000000,15,97.400000,98.700000,3.019750,2.787750
31.000000,15,97.100000,98.400000,3.050750,2.813250
32.000000,15,97.100000,97.900000,3.213750,2.917500
33.000000,15,97.100000,98.300000,3.237500,2.945000
34.000000,15,97.600000,98.600000,3.366000,3.035250
35.000000,15,96.800000,97.600000,3.428000,3.072000
36.000000,15,97.900000,98.600000,3.562000,3.166500
37.000000,15,96.600000,97.700000,3.604000,3.206000
38.000000,15,96.500000,97.400000,3.696500,3.268750
39.000000,15,97.800000,98.300000,3.773250,3.319500
40.000000,15,98.100000,98.700000,3.886000,3.407250
41.000000,15,97.100000,97.900000,4.010500,3.490000
42.000000,15,97.900000,98.100000,4.067250,3.528000
43.000000,15,97.600000,98.100000,4.176250,3.606000
44.000000,15,98.300000,98.800000,4.199750,3.622250
45.000000,15,98.200000,99.200000,4.310750,3.719500
46.000000,15,97.300000,98.300000,4.400000,3.767000
47.000000,15,97.200000,97.800000,4.447500,3.798250
48.000000,15,96.900000,97.600000,4.562000,3.884250
49.000000,15,96.900000,97.300000,4.604500,3.918750
50.000000,15,97.100000,97.300000,4.740000,4.011500
51.000000,15,97.300000,97.500000,4.787250,4.056250
52.000000,15,97.000000,97.400000,4.861750,4.102750
53.000000,15,97.300000,97.900000,4.996000,4.193500
54.000000,15,97.000000,98.100000,5.099250,4.277000
55.000000,15,97.500000,97.900000,5.199500,4.339000
56.000000,15,97.000000,97.100000,5.158000,4.331750
57.000000,15,97.400000,97.600000,5.337250,4.442250
58.000000,15,97.700000,98.100000,5.370500,4.474250
59.000000,15,97.700000,98.000000,5.487000,4.543750
60.000000,15,96.800000,97.600000,5.526000,4.589000
61.000000,15,96.500000,97.000000,5.594750,4.637500
62.000000,15,96.600000,97.400000,5.720000,4.717000
63.000000,15,97.000000,97.200000,5.775750,4.773500
64.000000,15,96.900000,97.400000,5.878750,4.838500
65.000000,15,96.300000,97.100000,5.993500,4.934750
66.000000,15,97.700000,98.100000,6.086500,4.982750
67.000000,15,96.700000,97.700000,6.122500,5.019250
68.000000,15,97.100000,97.100000,6.259000,5.122250
69.000000,15,97.900000,98.100000,6.330500,5.150250
70.000000,15,97.200000,97.200000,6.438750,5.239250
71.000000,15,96.400000,96.900000,6.412750,5.238000
72.000000,15,96.900000,97.200000,6.538750,5.323000
73.000000,15,96.700000,97.000000,6.608000,5.366000
74.000000,15,97.800000,98.000000,6.750750,5.465750
75.000000,15,97.800000,97.700000,6.791750,5.500500
76.000000,15,97.100000,96.800000,6.815250,5.515500
77.000000,15,96.100000,96.400000,7.007750,5.653750
78.000000,15,97.000000,96.400000,7.044500,5.684500
79.000000,15,97.000000,97.400000,7.137500,5.758000
80.000000,15,97.400000,97.200000,7.208500,5.814000
81.000000,15,97.200000,96.900000,7.374000,5.931250
82.000000,15,97.300000,97.400000,7.506250,6.029500
83.000000,15,96.300000,95.800000,7.532750,6.075000
84.000000,15,96.100000,96.200000,7.610000,6.115000
85.000000,15,96.800000,96.500000,7.818500,6.241750
86.000000,15,96.300000,96.400000,7.860250,6.300250
87.000000,15,96.800000,96.800000,7.993000,6.402500
88.000000,15,96.700000,96.700000,8.069500,6.442000
89.000000,15,96.700000,96.400000,8.197250,6.546000
90.000000,15,96.900000,96.500000,8.353500,6.639000
91.000000,15,97.000000,97.200000,8.450750,6.731500
92.000000,15,96.200000,95.900000,8.554500,6.811500
93.000000,15,96.600000,96.200000,8.605250,6.885000
94.000000,15,96.700000,96.800000,8.724250,6.959000
95.000000,15,96.800000,96.000000,8.869000,7.036750
96.000000,15,96.200000,95.500000,9.030250,7.149500
97.000000,15,96.400000,96.800000,9.148000,7.267000
98.000000,15,96.000000,95.300000,9.200750,7.313000
99.000000,15,97.000000,95.900000,9.415250,7.423250
100.000000,15,96.900000,96.500000,9.435250,7.468500
101.000000,15,96.400000,95.800000,9.535750,7.539000
102.000000,15,96.700000,95.900000,9.687500,7.672250
103.000000,15,97.300000,96.500000,9.899500,7.802750
104.000000,15,96.600000,95.800000,9.950750,7.837500
105.000000,15,97.400000,97.200000,10.161250,7.996000
106.000000,15,97.400000,97.000000,10.261250,8.079250
107.000000,15,96.200000,95.500000,10.372000,8.178250
108.000000,15,97.600000,97.000000,10.468750,8.266000
109.000000,15,96.200000,94.400000,10.560250,8.316000
110.000000,15,96.300000,95.800000,10.625000,8.378500
111.000000,15,97.600000,96.400000,10.798000,8.488500
112.000000,15,96.600000,95.600000,10.978500,8.621500
113.000000,15,96.800000,95.300000,11.074000,8.699500
114.000000,15,96.600000,96.300000,11.219250,8.812750
115.000000,15,96.600000,95.400000,11.398500,8.912000
116.000000,15,96.200000,95.000000,11.371000,8.970000
117.000000,15,95.600000,95.500000,11.568250,9.096500
118.000000,15,96.200000,95.300000,11.760000,9.199000
119.000000,15,96.800000,95.700000,11.829250,9.257000
