T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,96.600000,97.400000,2.292750,2.440250
21.000000,15,96.100000,97.100000,2.392500,2.496500
22.000000,15,96.200000,97.100000,2.500250,2.569000
23.000000,15,95.600000,96.700000,2.585250,2.636000
24.000000,15,95.600000,97.400000,2.683000,2.700000
25.000000,15,97.700000,97.900000,2.784000,2.782750
26.000000,15,95.900000,96.900000,2.881500,2.866500
27.000000,15,96.600000,96.600000,2.968750,2.909000
28.000000,15,96.000000,95.700000,3.055750,2.965750
29.000000,15,96.900000,96.900000,3.159250,3.056250
30.000000,15,96.500000,97.200000,3.251500,3.130500
31.000000,15,97.200000,97.000000,3.358250,3.201250
32.000000,15,97.100000,96.800000,3.436000,3.276000
33.000000,15,96.000000,96.700000,3.501000,3.308000
34.000000,15,95.500000,95.000000,3.620000,3.388750
35.000000,15,96.100000,95.800000,3.704750,3.457750
36.000000,15,97.300000,96.400000,3.860000,3.581750
37.000000,15,96.400000,95.600000,3.936500,3.640750
38.000000,15,97.000000,96.200000,3.971250,3.647500
39.000000,15,97.000000,96.300000,4.089750,3.748000
40.000000,15,96.500000,95.500000,4.186750,3.822500
41.000000,15,96.800000,96.100000,4.293750,3.908750
42.000000,15,96.800000,95.800000,4.339750,3.936500
43.000000,15,96.500000,96.200000,4.420000,4.015750
44.000000,15,96.400000,95.600000,4.533250,4.078250
45.000000,15,97.200000,95.900000,4.637000,4.165000
46.000000,15,95.400000,93.900000,4.701500,4.226000
47.000000,15,96.300000,95.500000,4.812250,4.313750
48.000000,15,96.400000,96.300000,4.915250,4.395250
49.000000,15,97.700000,97.000000,4.980500,4.425000
50.000000,15,96.900000,95.900000,5.119000,4.537250
51.000000,15,96.100000,95.000000,5.246250,4.633000
52.000000,15,96.600000,95.000000,5.273750,4.656000
53.000000,15,96.300000,95.100000,5.369000,4.727250
54.000000,15,96.600000,94.900000,5.439250,4.747250
55.000000,15,95.600000,94.200000,5.550250,4.862000
56.000000,15,97.000000,95.200000,5.655750,4.937750
57.000000,15,96.100000,94.000000,5.798500,5.037250
58.000000,15,96.300000,94.200000,5.906250,5.142000
59.000000,15,94.900000,93.500000,5.932000,5.174000
60.000000,15,96.200000,95.000000,5.981000,5.204000
61.000000,15,96.400000,95.200000,6.085500,5.277000
62.000000,15,96.000000,94.600000,6.226750,5.386500
63.000000,15,94.200000,92.800000,6.249500,5.412250
64.000000,15,96.500000,94.800000,6.426500,5.546000
65.000000,15,96.200000,93.900000,6.502250,5.577000
66.000000,15,95.900000,94.100000,6.513750,5.609000
67.000000,15,95.800000,94.100000,6.636750,5.701750
68.000000,15,94.700000,93.100000,6.774500,5.807500
69.000000,15,95.400000,93.700000,6.887750,5.899250
70.000000,15,95.700000,94.800000,6.930250,5.935750
71.000000,15,95.100000,93.100000,7.022000,5.986000
72.000000,15,95.800000,94.000000,7.061500,6.011000
73.000000,15,94.500000,92.100000,7.247750,6.183500
74.000000,15,96.300000,94.200000,7.345000,6.249750
75.000000,15,96.200000,93.900000,7.387000,6.283250
76.000000,15,95.000000,92.700000,7.480000,6.356000
77.000000,15,95.400000,93.600000,7.619250,6.467000
78.000000,15,96.500000,94.600000,7.701750,6.524750
79.000000,15,94.500000,91.500000,7.889000,6.650500
80.000000,15,95.700000,93.900000,7.912250,6.683750
81.000000,15,95.400000,92.500000,8.001750,6.761000
82.000000,15,96.000000,93.900000,8.158000,6.859500
83.000000,15,95.800000,93.500000,8.264750,6.948750
84.000000,15,96.500000,94.000000,8.440000,7.101000
85.000000,15,95.700000,92.500000,8.557000,7.197250
86.000000,15,95.800000,92.800000,8.683750,7.284500
87.000000,15,96.600000,93.100000,8.744250,7.332500
88.000000,15,94.200000,92.000000,8.864000,7.432250
89.000000,15,95.700000,92.100000,8.997250,7.536750
90.000000,15,95.100000,92.800000,9.102750,7.614500
91.000000,15,96.400000,93.800000,9.251000,7.710500
92.000000,15,95.200000,93.300000,9.258000,7.712000
93.000000,15,94.100000,92.300000,9.407000,7.862250
94.000000,15,95.400000,92.800000,9.676000,8.046000
