T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,93.800000,99.100000,3.595750,3.736750
21.000000,15,93.300000,98.200000,3.638250,3.790000
22.000000,15,93.900000,98.500000,3.797000,3.937250
23.000000,15,93.400000,98.300000,3.782000,3.944000
24.000000,15,93.000000,98.200000,3.867000,4.044750
25.000000,15,93.200000,98.300000,3.941250,4.115500
26.000000,15,92.900000,98.200000,4.030750,4.209250
27.000000,15,93.400000,97.800000,4.154000,4.281250
28.000000,15,93.600000,98.400000,4.099250,4.290500
29.000000,15,93.700000,99.300000,4.268500,4.395500
30.000000,15,93.000000,98.400000,4.356000,4.489750
31.000000,15,93.700000,98.100000,4.493500,4.596500
32.000000,15,93.100000,98.000000,4.593250,4.721000
33.000000,15,92.500000,98.400000,4.595500,4.702000
34.000000,15,94.200000,98.600000,4.769750,4.827750
35.000000,15,94.400000,98.500000,4.908000,4.903500
36.000000,15,93.600000,98.600000,4.958500,4.963500
37.000000,15,94.500000,98.600000,5.043000,5.061500
38.000000,15,94.000000,97.900000,5.098750,5.090750
39.000000,15,94.900000,99.100000,5.210500,5.192750
40.000000,15,94.500000,98.500000,5.262000,5.230000
41.000000,15,93.500000,97.800000,5.373500,5.305000
42.000000,15,96.000000,99.600000,5.540000,5.460250
43.000000,15,94.800000,98.300000,5.612250,5.507750
44.000000,15,93.400000,97.700000,5.734000,5.626250
45.000000,15,94.600000,98.200000,5.796000,5.659750
46.000000,15,94.700000,98.300000,5.873500,5.746500
47.000000,15,94.400000,97.800000,5.876500,5.760000
48.000000,15,95.200000,98.300000,6.090500,5.896500
49.000000,15,95.600000,98.500000,6.154750,5.940500
50.000000,15,95.200000,98.100000,6.226250,6.046250
51.000000,15,94.600000,98.600000,6.389750,6.166250
52.000000,15,95.200000,98.700000,6.569250,6.369500
53.000000,15,95.200000,98.900000,6.624250,6.413000
54.000000,15,95.100000,98.100000,6.834750,6.530250
55.000000,15,96.300000,98.800000,6.951500,6.673750
56.000000,15,94.900000,99.200000,6.957750,6.735500
57.000000,15,95.700000,98.800000,7.276250,6.954500
58.000000,15,95.400000,98.500000,7.259250,6.961750
59.000000,15,95.400000,98.500000,7.388000,7.064000
60.000000,15,96.300000,98.200000,7.506500,7.168250
61.000000,15,95.200000,97.800000,7.605500,7.262000
62.000000,15,94.700000,97.400000,7.813500,7.464750
63.000000,15,95.000000,98.200000,7.729750,7.438750
64.000000,15,95.200000,97.900000,7.931750,7.608000
65.000000,15,95.600000,98.700000,8.188000,7.811000
66.000000,15,95.400000,98.300000,8.312000,7.961750
67.000000,15,95.000000,98.200000,8.454250,8.076750
68.000000,15,95.400000,98.600000,8.508000,8.142000
69.000000,15,95.000000,99.000000,8.761000,8.376500
70.000000,15,96.100000,98.600000,8.949250,8.559500
71.000000,15,94.900000,97.900000,8.854000,8.457500
72.000000,15,95.900000,98.600000,9.254500,8.815000
73.000000,15,94.000000,97.200000,9.239500,8.910250
74.000000,15,96.500000,98.500000,9.725000,9.290250
75.000000,15,96.500000,99.100000,9.723250,9.335500
76.000000,15,96.500000,98.100000,10.021000,9.618500
77.000000,15,94.400000,97.900000,9.935250,9.568750
78.000000,15,95.900000,98.100000,10.237250,9.819000
79.000000,15,95.000000,97.200000,10.393000,9.974250
80.000000,15,94.900000,98.000000,10.409000,10.089000
81.000000,15,95.400000,97.800000,10.741000,10.294500
82.000000,15,96.500000,98.500000,10.951750,10.589500
83.000000,15,94.800000,97.700000,11.228000,10.829750
84.000000,15,94.200000,97.700000,11.351250,10.929750
85.000000,15,95.000000,97.200000,11.491500,11.104500
86.000000,15,95.800000,98.100000,11.814000,11.461250
87.000000,15,94.200000,97.300000,11.925000,11.594250
88.000000,15,95.100000,97.200000,11.899500,11.568500
89.000000,15,94.900000,97.100000,12.228250,11.942250
90.000000,15,94.600000,97.600000,12.593500,12.272500
91.000000,15,94.500000,97.300000,12.743750,12.434500
92.000000,15,96.600000,97.800000,13.124500,12.847250
93.000000,15,95.300000,97.600000,13.035250,12.720500
94.000000,15,95.700000,97.300000,13.114000,12.779750
95.000000,15,96.100000,98.000000,13.373750,13.078000
96.000000,15,95.900000,97.600000,13.663500,13.453500
97.000000,15,95.400000,97.100000,13.975750,13.758750
98.000000,15,95.100000,97.300000,14.107000,13.928250
99.000000,15,95.200000,97.600000,14.506500,14.298750
100.000000,15,94.700000,97.300000,14.559500,14.463000
101.000000,15,95.600000,98.000000,14.747000,14.545750
102.000000,15,94.200000,96.800000,15.185250,14.954000
103.000000,15,95.000000,97.800000,15.382000,15.262000
104.000000,15,94.200000,97.100000,15.435750,15.400500
105.000000,15,94.000000,97.200000,15.546000,15.622250
106.000000,15,94.300000,96.200000,15.755250,15.681500
107.000000,15,94.000000,97.000000,15.984000,16.033500
108.000000,15,94.700000,97.100000,16.359250,16.356500
109.000000,15,93.500000,97.200000,16.836750,16.845250
110.000000,15,95.900000,97.500000,16.940750,16.905000
111.000000,15,95.500000,97.000000,17.212000,17.237250
112.000000,15,94.900000,97.000000,17.068750,17.059250
113.000000,15,93.800000,96.300000,17.760500,17.896000
114.000000,15,95.300000,96.800000,18.070250,18.215500
115.000000,15,94.800000,96.900000,18.376500,18.447000
116.000000,15,93.100000,96.200000,18.431000,18.632500
117.000000,15,94.400000,97.300000,18.746000,19.046250
118.000000,15,94.800000,96.900000,18.859500,19.173750
119.000000,15,94.300000,96.600000,19.074750,19.358750
120.000000,15,95.200000,97.000000,19.300000,19.649250
121.000000,15,94.000000,97.000000,19.946250,20.337750
122.000000,15,93.800000,96.000000,20.247750,20.635000
123.000000,15,94.500000,96.900000,20.104250,20.510000
124.000000,15,95.100000,96.500000,20.808500,21.079000
125.000000,15,95.700000,97.600000,20.901250,21.463750
126.000000,15,93.600000,95.800000,20.920500,21.481500
127.000000,15,93.300000,95.700000,21.489250,22.099250
128.000000,15,93.900000,95.600000,21.866500,22.331500
129.000000,15,95.600000,97.800000,21.900500,22.730750
130.000000,15,93.500000,95.600000,22.050000,22.785500
131.000000,15,94.700000,96.900000,22.630250,23.438000
132.000000,15,95.300000,96.400000,22.962750,23.749250
133.000000,15,94.000000,96.000000,23.236500,24.092500
134.000000,15,94.100000,97.100000,23.968750,24.959500
135.000000,15,94.400000,96.800000,24.054500,24.911000
136.000000,15,94.900000,97.500000,23.976250,24.877750
137.000000,15,95.400000,96.700000,24.777500,25.740250
138.000000,15,94.000000,96.300000,24.183750,25.342500
139.000000,15,94.000000,96.300000,24.974500,26.183750
140.000000,15,94.000000,95.700000,25.521500,26.788750
141.000000,15,93.800000,96.100000,25.474750,26.805750
142.000000,15,93.400000,96.000000,26.085750,27.424000
143.000000,15,95.300000,96.500000,26.418500,27.645250
144.000000,15,94.300000,96.500000,26.689000,27.951750
145.000000,15,93.400000,95.500000,26.705500,28.150750
146.000000,15,94.700000,97.400000,27.242500,28.654000
147.000000,15,93.500000,97.100000,27.536750,29.055250
148.000000,15,94.000000,96.600000,28.373500,29.910000
149.000000,15,94.600000,97.000000,28.177500,29.789500
150.000000,15,94.900000,96.700000,29.210250,30.924000
151.000000,15,94.400000,96.800000,29.041500,30.875500
152.000000,15,93.000000,95.500000,28.446500,30.342500
153.000000,15,94.600000,96.700000,29.495500,31.436250
154.000000,15,94.000000,96.200000,29.900750,31.710000
155.000000,15,92.700000,95.700000,29.930750,31.853500
156.000000,15,94.800000,96.400000,30.712500,32.819500
157.000000,15,94.400000,96.900000,30.879000,33.066500
158.000000,15,93.600000,95.900000,31.398750,33.576000
159.000000,15,93.600000,95.900000,32.076000,34.150250
160.000000,15,93.600000,95.900000,31.769250,34.041750
161.000000,15,93.800000,96.000000,32.265750,34.645500
162.000000,15,92.700000,94.800000,32.090500,34.573500
163.000000,15,94.600000,96.200000,33.039250,35.482750
164.000000,15,93.700000,95.800000,33.668500,36.088000
165.000000,15,94.600000,96.200000,34.098750,36.674250
166.000000,15,93.400000,95.800000,33.752500,36.433750
167.000000,15,92.700000,95.500000,34.736500,37.336750
168.000000,15,92.900000,95.500000,34.519250,37.417750
169.000000,15,93.300000,96.300000,34.927250,37.842000
170.000000,15,93.600000,96.800000,35.279500,38.250250
171.000000,15,93.300000,95.600000,36.328250,39.382250
172.000000,15,95.100000,96.500000,36.408750,39.335750
173.000000,15,92.300000,94.600000,36.634250,39.816750
174.000000,15,93.600000,96.300000,37.025000,40.363000
175.000000,15,93.200000,96.300000,38.798500,42.410750
176.000000,15,92.800000,95.600000,37.128000,40.519500
177.000000,15,92.100000,94.500000,38.021250,41.182000
178.000000,15,92.300000,94.600000,39.002750,42.433750
179.000000,15,93.100000,95.500000,39.005750,42.652000
180.000000,15,92.300000,94.900000,39.559750,43.302750
181.000000,15,92.900000,95.300000,39.687250,43.256750
182.000000,15,94.300000,96.300000,39.971250,43.688250
183.000000,15,91.800000,94.500000,40.208000,43.982250
184.000000,15,93.000000,94.900000,40.961500,44.585000
185.000000,15,93.700000,95.800000,41.480250,45.207750
186.000000,15,94.600000,97.000000,42.457250,46.765250
187.000000,15,93.000000,95.300000,42.852250,47.041500
188.000000,15,93.700000,95.400000,43.226500,47.315500
189.000000,15,93.100000,96.000000,42.745250,46.855750
190.000000,15,92.500000,96.000000,43.134250,47.274750
191.000000,15,93.600000,96.000000,43.989500,48.086750
192.000000,15,92.000000,94.500000,44.293750,48.494500
193.000000,15,92.600000,95.500000,44.925500,49.323500
194.000000,15,93.200000,95.900000,46.893750,51.244250
195.000000,15,94.500000,97.100000,45.962250,50.204750
196.000000,15,92.800000,94.900000,45.922750,50.211250
197.000000,15,91.900000,94.900000,46.823000,51.166000
198.000000,15,92.900000,95.000000,47.282000,51.574750
199.000000,15,93.700000,95.600000,48.436750,52.883500
200.000000,15,91.500000,94.400000,47.840250,51.952000
201.000000,15,93.100000,95.600000,47.819500,52.570500
202.000000,15,93.100000,95.500000,48.542750,52.992750
203.000000,15,94.000000,96.400000,49.755000,54.255500
204.000000,15,92.800000,95.000000,50.849500,55.439500
205.000000,15,93.000000,95.800000,49.805250,54.282500
206.000000,15,93.000000,94.600000,50.913500,55.302250
207.000000,15,92.800000,94.600000,51.731250,56.058250
208.000000,15,92.400000,94.900000,51.874250,56.252750
209.000000,15,92.600000,94.300000,52.195750,56.602250
210.000000,15,91.600000,94.800000,51.438250,55.709750
211.000000,15,93.200000,95.300000,52.920250,57.061000
212.000000,15,91.700000,94.400000,53.510500,57.537000
213.000000,15,93.100000,95.600000,53.061000,57.486000
214.000000,15,93.700000,95.100000,55.546750,59.346250
215.000000,15,94.300000,96.200000,54.786750,59.005250
216.000000,15,93.700000,94.900000,55.774000,59.104500
217.000000,15,93.700000,95.800000,56.413750,60.104000
218.000000,15,92.600000,94.800000,55.449250,59.090750
219.000000,15,92.400000,94.600000,56.970500,60.555250
220.000000,15,93.200000,94.600000,56.961250,60.399000
221.000000,15,91.700000,94.500000,56.653000,60.257500
222.000000,15,93.300000,94.200000,58.393750,61.722500
223.000000,15,92.600000,94.100000,57.512750,60.751250
224.000000,15,92.400000,93.600000,58.970000,61.851000
225.000000,15,92.300000,94.400000,59.863500,62.776750
226.000000,15,92.700000,94.500000,60.605000,63.129500
227.000000,15,92.800000,94.000000,59.868000,62.356750
228.000000,15,92.900000,95.100000,60.853750,63.369250
229.000000,15,94.400000,96.300000,61.739750,63.846750
230.000000,15,91.600000,93.600000,59.705000,62.023750
231.000000,15,92.100000,93.300000,60.951250,62.864000
232.000000,15,93.900000,95.000000,62.495250,64.030500
233.000000,15,92.100000,94.100000,62.300750,63.699500
234.000000,15,92.800000,93.700000,63.546250,64.846500
235.000000,15,93.300000,93.900000,63.823750,64.835500
236.000000,15,92.500000,93.200000,63.050500,64.030500
237.000000,15,92.700000,93.600000,63.575750,64.264250
238.000000,15,91.700000,92.500000,63.817750,64.435250
239.000000,15,92.400000,93.500000,65.098000,65.219250
240.000000,15,91.400000,92.900000,63.827000,64.237500
241.000000,15,93.200000,93.600000,65.746000,65.257500
242.000000,15,93.200000,94.100000,64.849250,64.649750
243.000000,15,90.900000,91.400000,65.444500,64.625250
244.000000,15,92.800000,94.100000,65.363750,64.875500
245.000000,15,92.500000,92.700000,64.327750,63.693500
246.000000,15,91.600000,92.400000,65.643500,64.670000
247.000000,15,92.700000,93.400000,65.103500,63.982000
248.000000,15,92.700000,93.000000,64.993000,63.571500
249.000000,15,92.500000,92.800000,65.196500,63.690250
250.000000,15,90.500000,91.300000,64.602000,63.121000
251.000000,15,93.100000,94.200000,65.431750,63.432250
252.000000,15,94.400000,94.000000,65.125500,63.289000
253.000000,15,91.700000,93.300000,64.646750,62.671000
254.000000,15,93.000000,95.100000,65.630000,63.394250
255.000000,15,92.900000,93.700000,65.139750,62.597750
256.000000,15,92.200000,91.600000,63.848500,61.402750
257.000000,15,92.200000,93.000000,65.807000,62.711000
258.000000,15,92.700000,94.300000,63.854500,61.276250
259.000000,15,93.100000,94.500000,64.772500,61.742250
260.000000,15,92.400000,93.700000,64.138750,61.049500
261.000000,15,92.100000,94.100000,63.582750,60.478000
262.000000,15,93.600000,94.800000,63.488750,60.235000
263.000000,15,92.700000,94.100000,62.850500,59.747500
264.000000,15,91.000000,93.600000,62.355500,59.122000
265.000000,15,93.800000,95.600000,63.191500,59.582250
266.000000,15,92.700000,94.900000,61.945500,58.443750
267.000000,15,94.200000,96.200000,62.347000,58.542000
268.000000,15,93.200000,95.400000,61.941750,58.414750
269.000000,15,92.000000,94.300000,60.159250,56.723500
270.000000,15,92.600000,95.200000,61.011000,57.359000
271.000000,15,93.200000,96.400000,60.128500,56.739500
272.000000,15,93.200000,95.300000,60.294500,56.858000
273.000000,15,92.100000,95.300000,58.950500,55.665750
