T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,95.900000,97.300000,2.102250,2.265000
21.000000,15,96.000000,97.900000,2.186750,2.321500
22.000000,15,95.100000,96.500000,2.324000,2.426000
23.000000,15,95.300000,96.700000,2.397000,2.480500
24.000000,15,96.700000,97.400000,2.490750,2.545000
25.000000,15,97.800000,98.500000,2.555000,2.596250
26.000000,15,96.800000,96.900000,2.668250,2.682000
27.000000,15,96.600000,97.300000,2.774000,2.752000
28.000000,15,97.600000,96.300000,2.877750,2.807750
29.000000,15,97.100000,97.000000,2.992750,2.900500
30.000000,15,97.200000,97.900000,3.042250,2.957250
31.000000,15,97.600000,97.200000,3.175250,3.025000
32.000000,15,97.700000,97.300000,3.230000,3.079750
33.000000,15,97.100000,97.300000,3.323500,3.142750
34.000000,15,97.000000,96.600000,3.442250,3.234750
35.000000,15,97.200000,96.300000,3.516750,3.289000
36.000000,15,97.500000,97.000000,3.638000,3.369750
37.000000,15,98.000000,97.600000,3.716250,3.434250
38.000000,15,97.100000,97.000000,3.758000,3.455500
39.000000,15,97.800000,97.000000,3.892000,3.554500
40.000000,15,97.700000,96.900000,3.946500,3.612750
41.000000,15,97.700000,95.700000,4.057750,3.690750
42.000000,15,98.000000,95.200000,4.138750,3.750750
43.000000,15,98.100000,97.400000,4.228250,3.820750
44.000000,15,97.800000,97.100000,4.313000,3.877750
45.000000,15,97.600000,96.800000,4.428500,3.961750
46.000000,15,97.500000,96.500000,4.507000,4.033000
47.000000,15,98.100000,96.200000,4.616500,4.093500
48.000000,15,98.500000,97.500000,4.750000,4.196750
49.000000,15,98.300000,97.300000,4.812750,4.248500
50.000000,15,98.600000,97.400000,4.931250,4.339000
51.000000,15,98.000000,96.600000,5.027750,4.392500
52.000000,15,98.300000,96.300000,5.074500,4.438250
53.000000,15,98.200000,97.000000,5.225000,4.550000
54.000000,15,97.900000,97.300000,5.269500,4.583500
55.000000,15,97.800000,95.400000,5.386750,4.668500
56.000000,15,97.800000,97.100000,5.491250,4.750500
57.000000,15,97.800000,95.500000,5.630250,4.861250
58.000000,15,98.900000,97.300000,5.767500,4.974250
59.000000,15,98.100000,96.500000,5.836000,5.031000
60.000000,15,98.300000,97.500000,5.876000,5.039000
61.000000,15,98.000000,96.500000,6.012750,5.152250
62.000000,15,98.400000,97.000000,6.147750,5.250250
63.000000,15,97.600000,95.600000,6.250500,5.338000
64.000000,15,98.500000,96.800000,6.369000,5.424250
65.000000,15,97.900000,95.900000,6.403250,5.448000
66.000000,15,97.700000,96.600000,6.576500,5.575750
67.000000,15,98.500000,96.400000,6.610250,5.609000
68.000000,15,98.000000,96.600000,6.810000,5.755000
69.000000,15,98.100000,96.700000,6.900750,5.830000
70.000000,15,98.500000,96.600000,6.974500,5.875000
71.000000,15,97.900000,96.000000,7.137000,6.005500
72.000000,15,98.100000,96.300000,7.201500,6.047250
73.000000,15,97.600000,96.300000,7.376750,6.205500
74.000000,15,98.800000,97.700000,7.489750,6.254000
75.000000,15,98.500000,97.700000,7.618500,6.364000
76.000000,15,97.900000,96.000000,7.683250,6.397000
77.000000,15,98.700000,97.000000,7.853000,6.535750
78.000000,15,98.600000,96.800000,7.920000,6.587000
79.000000,15,97.800000,96.000000,8.155000,6.769000
80.000000,15,97.700000,96.100000,8.246250,6.830250
81.000000,15,98.300000,96.800000,8.334500,6.897250
82.000000,15,98.400000,96.700000,8.511000,7.030250
83.000000,15,98.500000,97.100000,8.647500,7.161250
84.000000,15,98.300000,96.700000,8.775250,7.252750
85.000000,15,98.700000,97.300000,8.930750,7.402750
86.000000,15,98.500000,96.000000,9.009500,7.416500
87.000000,15,98.900000,97.600000,9.112250,7.523000
88.000000,15,97.400000,95.700000,9.335250,7.682250
89.000000,15,98.800000,97.400000,9.450000,7.767500
90.000000,15,98.100000,96.700000,9.565250,7.864000
91.000000,15,98.600000,96.700000,9.712750,7.971250
92.000000,15,97.800000,96.300000,9.833750,8.051000
93.000000,15,98.000000,96.500000,10.002000,8.201500
94.000000,15,98.800000,96.700000,10.172500,8.313000
95.000000,15,98.600000,96.600000,10.337000,8.474250
96.000000,15,98.900000,97.400000,10.499250,8.593000
97.000000,15,98.800000,97.500000,10.679750,8.771250
98.000000,15,98.800000,97.600000,10.802000,8.826250
99.000000,15,99.000000,97.200000,10.899000,8.910000
100.000000,15,98.000000,96.200000,11.111500,9.072250
101.000000,15,99.000000,97.600000,11.239000,9.151000
102.000000,15,98.300000,96.200000,11.433500,9.347750
103.000000,15,98.300000,96.900000,11.488500,9.350750
104.000000,15,98.800000,96.600000,11.753000,9.577250
105.000000,15,98.600000,97.200000,11.944000,9.725000
106.000000,15,98.400000,96.900000,12.018000,9.783000
107.000000,15,98.200000,96.300000,12.127500,9.886750
108.000000,15,98.900000,97.500000,12.396000,10.087250
109.000000,15,98.600000,97.000000,12.578750,10.199000
110.000000,15,98.800000,97.300000,12.685250,10.309000
111.000000,15,98.900000,97.000000,12.930750,10.527500
112.000000,15,99.200000,96.600000,13.028750,10.554750
113.000000,15,98.900000,96.700000,13.202500,10.733000
114.000000,15,98.600000,96.200000,13.385000,10.881500
115.000000,15,98.000000,96.400000,13.569000,11.013000
116.000000,15,98.500000,97.300000,13.660500,11.049250
117.000000,15,98.600000,96.500000,13.878250,11.254000
118.000000,15,98.200000,95.900000,14.073000,11.424250
119.000000,15,98.300000,96.500000,14.298250,11.603500
120.000000,15,98.900000,97.200000,14.322500,11.613250
121.000000,15,98.500000,96.900000,14.610250,11.832000
122.000000,15,98.900000,97.200000,14.884250,12.013250
123.000000,15,98.600000,96.500000,14.953500,12.110500
124.000000,15,98.600000,96.400000,15.094250,12.215500
125.000000,15,98.600000,96.700000,15.245500,12.338000
126.000000,15,97.900000,95.700000,15.495250,12.523750
127.000000,15,98.500000,97.600000,15.782000,12.791750
128.000000,15,97.900000,96.100000,15.871500,12.826250
129.000000,15,98.200000,96.400000,16.064250,12.971500
130.000000,15,98.400000,96.800000,16.246750,13.096500
131.000000,15,98.700000,96.700000,16.436500,13.263250
132.000000,15,98.000000,96.200000,16.639000,13.432000
133.000000,15,98.500000,96.900000,16.770000,13.567250
134.000000,15,98.600000,96.900000,17.027500,13.738500
135.000000,15,98.400000,96.800000,17.144000,13.866750
136.000000,15,98.500000,96.600000,17.414750,14.060500
137.000000,15,98.400000,96.500000,17.659750,14.227000
138.000000,15,97.700000,95.700000,17.743250,14.323500
139.000000,15,99.000000,96.700000,18.059750,14.556500
140.000000,15,98.800000,97.100000,18.327750,14.800250
141.000000,15,98.400000,96.700000,18.473500,14.910250
142.000000,15,98.200000,95.700000,18.542250,14.913750
143.000000,15,97.800000,96.100000,18.833000,15.197500
144.000000,15,98.300000,97.000000,19.007250,15.351250
145.000000,15,98.900000,96.600000,19.287000,15.560000
146.000000,15,98.100000,96.000000,19.506500,15.746250
147.000000,15,98.600000,97.400000,19.644250,15.836500
148.000000,15,98.100000,95.700000,19.861000,16.018750
149.000000,15,98.300000,96.600000,20.025500,16.152000
150.000000,15,98.300000,96.200000,20.247250,16.347250
151.000000,15,97.900000,96.600000,20.359250,16.394000
152.000000,15,98.700000,96.500000,20.703500,16.692250
153.000000,15,98.500000,97.500000,20.945250,16.947750
154.000000,15,98.900000,97.300000,21.182750,17.092250
155.000000,15,98.900000,97.200000,21.232000,17.141000
156.000000,15,98.200000,96.200000,21.528000,17.366500
157.000000,15,97.200000,95.500000,21.809250,17.619750
158.000000,15,98.700000,96.500000,22.111500,17.832750
159.000000,15,98.800000,96.900000,22.320000,18.044000
160.000000,15,98.200000,96.700000,22.539000,18.185000
161.000000,15,99.000000,96.700000,22.735000,18.319750
162.000000,15,97.600000,96.100000,22.811750,18.425000
163.000000,15,98.800000,96.700000,23.164500,18.691500
164.000000,15,97.700000,95.900000,23.474250,18.909000
165.000000,15,98.300000,95.400000,23.688500,19.123500
166.000000,15,97.900000,96.400000,23.869000,19.275000
167.000000,15,97.800000,95.700000,24.051250,19.435250
168.000000,15,98.400000,96.500000,24.366000,19.623250
169.000000,15,98.500000,95.900000,24.546500,19.804500
170.000000,15,98.800000,96.300000,24.848000,20.074000
171.000000,15,98.700000,95.800000,24.908500,20.112250
172.000000,15,98.800000,96.900000,25.245250,20.346750
173.000000,15,98.000000,96.400000,25.555500,20.602500
174.000000,15,98.200000,96.200000,25.830000,20.767750
175.000000,15,98.600000,96.500000,26.002000,20.954250
176.000000,15,98.700000,95.800000,26.352500,21.257250
177.000000,15,98.700000,97.300000,26.408750,21.291750
178.000000,15,98.500000,97.300000,26.778750,21.606000
179.000000,15,97.700000,95.300000,27.110500,21.879250
180.000000,15,98.000000,96.900000,27.105750,21.844750
181.000000,15,98.500000,96.700000,27.355750,22.088000
182.000000,15,98.400000,96.400000,27.550750,22.264750
183.000000,15,98.400000,96.200000,28.035500,22.592750
184.000000,15,98.200000,96.300000,28.157750,22.731750
185.000000,15,98.100000,96.200000,28.654500,23.138250
186.000000,15,98.300000,96.400000,28.790500,23.174750
187.000000,15,97.300000,95.100000,29.209000,23.549500
188.000000,15,98.400000,95.700000,28.940750,23.418000
189.000000,15,98.100000,96.100000,29.436750,23.785750
190.000000,15,98.000000,95.000000,29.862250,24.123750
191.000000,15,99.000000,98.000000,30.045250,24.227250
192.000000,15,98.600000,97.200000,30.335500,24.523000
193.000000,15,98.600000,96.800000,30.456250,24.602000
194.000000,15,98.900000,96.900000,30.730250,24.819250
195.000000,15,98.800000,96.800000,31.019250,25.075500
196.000000,15,99.000000,96.500000,31.411250,25.322250
197.000000,15,98.200000,95.800000,31.549250,25.532500
198.000000,15,98.000000,95.800000,31.963500,25.798500
199.000000,15,98.700000,96.400000,32.224250,25.991750
200.000000,15,98.200000,95.600000,32.083750,25.959250
201.000000,15,98.600000,97.300000,32.748000,26.448500
