T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,96.400000,98.600000,4.680250,4.572250
21.000000,15,96.200000,98.400000,4.806250,4.698750
22.000000,15,96.900000,99.000000,5.059000,4.957500
23.000000,15,96.200000,98.500000,5.101250,5.015250
24.000000,15,96.200000,98.700000,5.243000,5.192250
25.000000,15,95.500000,98.200000,5.409250,5.359250
26.000000,15,95.700000,98.500000,5.551500,5.517500
27.000000,15,94.800000,97.500000,5.777500,5.720000
28.000000,15,95.800000,98.200000,5.746000,5.753250
29.000000,15,96.000000,98.600000,6.044000,5.982750
30.000000,15,95.600000,98.100000,6.202250,6.178250
31.000000,15,95.500000,97.600000,6.442250,6.395250
32.000000,15,95.600000,98.100000,6.638750,6.636250
33.000000,15,95.100000,98.300000,6.684500,6.667000
34.000000,15,96.200000,98.500000,6.989250,6.952250
35.000000,15,96.400000,98.700000,7.234500,7.140250
36.000000,15,95.700000,97.900000,7.342250,7.287250
37.000000,15,96.200000,98.800000,7.536750,7.513750
38.000000,15,94.800000,98.100000,7.665000,7.620750
39.000000,15,94.900000,97.800000,7.872250,7.821250
40.000000,15,95.700000,97.600000,7.956000,7.901500
41.000000,15,95.200000,97.700000,8.208500,8.132750
42.000000,15,97.500000,98.200000,8.523000,8.444750
43.000000,15,96.100000,97.600000,8.692750,8.604250
44.000000,15,94.300000,96.600000,8.915500,8.852000
45.000000,15,95.600000,97.900000,9.044250,8.945750
46.000000,15,94.800000,97.500000,9.198000,9.141500
47.000000,15,95.500000,97.700000,9.229250,9.214000
48.000000,15,96.300000,97.300000,9.626250,9.507500
49.000000,15,95.400000,98.300000,9.725500,9.584500
50.000000,15,95.100000,97.300000,9.915000,9.834500
51.000000,15,95.300000,97.700000,10.188250,10.064250
52.000000,15,95.800000,97.400000,10.555250,10.501250
53.000000,15,96.200000,98.200000,10.644000,10.585750
54.000000,15,95.200000,97.100000,10.924750,10.765000
55.000000,15,96.500000,97.700000,11.210000,11.099500
56.000000,15,96.000000,97.000000,11.321750,11.247000
57.000000,15,96.600000,98.000000,11.743000,11.618250
58.000000,15,96.200000,97.400000,11.748750,11.632500
59.000000,15,96.500000,97.900000,11.965500,11.828750
60.000000,15,95.300000,96.900000,12.154250,12.020250
61.000000,15,94.800000,96.000000,12.280250,12.157750
62.000000,15,94.800000,97.400000,12.656500,12.536750
63.000000,15,95.800000,97.300000,12.521250,12.467500
64.000000,15,94.900000,96.300000,12.813250,12.733750
65.000000,15,96.300000,97.400000,13.237500,13.116000
