T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,92.800000,98.200000,6.104500,6.483750
21.000000,15,94.900000,97.800000,6.141500,6.506750
22.000000,15,92.900000,97.900000,6.269750,6.707250
23.000000,15,95.100000,98.500000,6.547250,6.988250
24.000000,15,93.500000,97.900000,6.657750,7.107750
25.000000,15,94.600000,98.400000,6.793000,7.266500
26.000000,15,93.600000,96.800000,6.848750,7.356250
27.000000,15,94.500000,98.000000,7.226000,7.751500
28.000000,15,92.600000,97.500000,7.174750,7.735750
29.000000,15,94.100000,98.700000,7.359000,7.932750
30.000000,15,94.200000,98.400000,7.513000,8.098500
31.000000,15,93.400000,97.300000,7.732250,8.311500
32.000000,15,93.200000,97.500000,8.157500,8.690500
33.000000,15,93.900000,97.900000,8.154000,8.795500
34.000000,15,93.800000,97.400000,8.385750,9.019250
35.000000,15,92.700000,97.300000,8.628250,9.251000
36.000000,15,93.600000,97.700000,8.782500,9.422000
37.000000,15,94.500000,97.500000,8.870500,9.514000
38.000000,15,93.000000,97.000000,9.185500,9.858000
39.000000,15,93.800000,97.900000,9.525750,10.222500
40.000000,15,93.200000,97.100000,9.727500,10.445250
41.000000,15,92.700000,96.900000,9.831500,10.559500
42.000000,15,92.800000,97.200000,10.102000,10.839250
43.000000,15,92.500000,97.100000,10.327750,11.038750
44.000000,15,92.600000,97.100000,10.605500,11.307250
45.000000,15,92.200000,97.300000,10.927750,11.705000
46.000000,15,92.200000,97.000000,10.942750,11.776500
47.000000,15,93.400000,96.600000,11.219500,11.962500
48.000000,15,94.400000,97.800000,11.749500,12.510250
49.000000,15,92.900000,98.200000,11.857750,12.695000
50.000000,15,93.700000,98.200000,11.970250,12.749250
51.000000,15,92.800000,97.700000,12.322500,13.167000
52.000000,15,93.600000,97.500000,12.622250,13.447750
53.000000,15,93.000000,97.300000,12.758250,13.610500
54.000000,15,94.700000,97.700000,13.138500,13.973500
55.000000,15,90.800000,95.800000,13.092000,14.075750
56.000000,15,93.600000,97.500000,13.385250,14.350500
57.000000,15,92.500000,97.100000,13.657500,14.588500
58.000000,15,93.400000,97.400000,14.082500,15.029500
59.000000,15,93.400000,97.100000,14.355750,15.352250
60.000000,15,93.400000,97.600000,14.604000,15.589750
61.000000,15,93.100000,97.700000,15.053750,16.036500
62.000000,15,92.600000,96.900000,15.076000,16.073750
63.000000,15,93.500000,97.300000,15.637750,16.661250
64.000000,15,92.400000,96.500000,15.673750,16.737250
65.000000,15,93.500000,97.800000,16.080250,17.244750
66.000000,15,93.400000,97.500000,16.361500,17.456000
67.000000,15,93.000000,97.200000,16.626000,17.762000
68.000000,15,92.100000,96.000000,16.582750,17.706750
69.000000,15,92.200000,97.100000,16.795500,17.906250
70.000000,15,93.900000,98.000000,17.493750,18.713250
71.000000,15,93.600000,97.400000,17.750250,18.909500
72.000000,15,94.100000,97.900000,18.088750,19.337250
73.000000,15,93.600000,97.200000,18.434500,19.664500
74.000000,15,94.900000,97.500000,18.438000,19.668250
75.000000,15,93.900000,97.600000,18.866750,20.113750
76.000000,15,93.400000,96.300000,18.734750,20.063750
77.000000,15,93.200000,96.200000,19.333500,20.655250
78.000000,15,92.900000,97.600000,19.760750,21.158500
79.000000,15,92.300000,96.900000,20.138500,21.564500
80.000000,15,93.600000,97.800000,20.288500,21.776250
81.000000,15,92.400000,97.200000,20.976250,22.411000
82.000000,15,94.300000,98.300000,20.845500,22.318750
83.000000,15,93.200000,96.700000,21.207750,22.583750
84.000000,15,92.700000,97.000000,21.315250,22.812000
85.000000,15,91.900000,96.200000,21.619000,23.230750
86.000000,15,93.100000,97.500000,22.076000,23.658000
87.000000,15,91.700000,96.000000,21.967750,23.564250
88.000000,15,92.200000,96.400000,22.244000,23.951000
89.000000,15,92.400000,96.300000,22.771250,24.428000
90.000000,15,93.900000,97.000000,23.922500,25.572750
91.000000,15,91.400000,96.500000,23.337250,25.096000
92.000000,15,94.300000,97.400000,24.122000,25.862500
93.000000,15,93.500000,96.500000,24.940250,26.543500
94.000000,15,91.700000,96.000000,24.498750,26.435500
95.000000,15,94.400000,97.800000,24.806750,26.757500
