T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,96.900000,99.300000,1.913250,2.010750
21.000000,15,96.200000,97.900000,2.045750,2.096500
22.000000,15,97.600000,98.900000,2.117500,2.143250
23.000000,15,96.400000,98.200000,2.249750,2.238500
24.000000,15,96.800000,98.400000,2.327500,2.288250
25.000000,15,97.700000,98.600000,2.477250,2.387250
26.000000,15,96.200000,97.800000,2.591000,2.474250
27.000000,15,97.800000,98.600000,2.667500,2.520750
28.000000,15,97.500000,98.100000,2.813750,2.626250
29.000000,15,97.100000,98.200000,2.918000,2.692000
30.000000,15,97.400000,98.400000,3.018000,2.763500
31.000000,15,97.400000,98.100000,3.097750,2.819750
32.000000,15,98.500000,99.300000,3.257250,2.919750
33.000000,15,98.100000,98.500000,3.341250,2.983000
34.000000,15,97.300000,98.000000,3.453750,3.069500
35.000000,15,98.100000,98.300000,3.555750,3.131500
36.000000,15,98.700000,99.000000,3.693250,3.226500
37.000000,15,98.600000,98.700000,3.787000,3.294500
38.000000,15,97.100000,97.900000,3.863250,3.348000
39.000000,15,97.700000,98.200000,3.967750,3.415500
40.000000,15,98.400000,98.100000,4.102750,3.516250
41.000000,15,97.800000,97.800000,4.256500,3.620250
42.000000,15,98.200000,98.400000,4.349750,3.670250
43.000000,15,98.800000,99.100000,4.475000,3.759500
44.000000,15,99.400000,98.900000,4.544500,3.811750
45.000000,15,98.200000,98.700000,4.666750,3.907000
46.000000,15,98.400000,98.400000,4.743500,3.956250
47.000000,15,97.900000,98.400000,4.847000,4.021750
48.000000,15,98.000000,98.200000,4.975750,4.114750
49.000000,15,97.600000,97.100000,5.063500,4.169000
50.000000,15,98.300000,98.200000,5.223250,4.278250
51.000000,15,98.700000,98.600000,5.311750,4.352000
52.000000,15,98.400000,98.500000,5.397000,4.398250
53.000000,15,98.600000,98.600000,5.544000,4.507500
54.000000,15,98.600000,98.400000,5.637250,4.571000
55.000000,15,98.100000,98.500000,5.763250,4.657750
56.000000,15,98.200000,98.400000,5.768750,4.681000
57.000000,15,98.900000,98.400000,5.966750,4.798750
58.000000,15,98.700000,98.200000,6.034000,4.848250
59.000000,15,98.800000,98.200000,6.135000,4.905250
60.000000,15,98.500000,98.400000,6.257250,5.000750
61.000000,15,98.400000,98.300000,6.356250,5.069750
62.000000,15,98.200000,98.000000,6.456000,5.136500
63.000000,15,97.900000,97.300000,6.552250,5.220750
64.000000,15,98.300000,97.900000,6.690750,5.300000
65.000000,15,98.400000,98.400000,6.801750,5.383750
66.000000,15,99.200000,99.000000,6.909500,5.445750
67.000000,15,99.200000,98.800000,6.988250,5.509750
68.000000,15,98.300000,98.300000,7.134750,5.604000
69.000000,15,98.400000,98.300000,7.205250,5.651750
70.000000,15,98.400000,97.900000,7.366500,5.761000
71.000000,15,98.400000,98.400000,7.366750,5.765750
72.000000,15,98.800000,98.100000,7.540750,5.891000
73.000000,15,98.700000,98.300000,7.618500,5.937250
74.000000,15,99.400000,99.000000,7.750250,6.030500
75.000000,15,99.300000,98.700000,7.825500,6.081750
76.000000,15,98.400000,98.200000,7.870750,6.114000
