T2,SNR,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20.000000,15,95.500000,96.800000,2.109750,2.283750
21.000000,15,95.000000,96.800000,2.219500,2.351000
22.000000,15,96.100000,97.600000,2.367000,2.451000
23.000000,15,95.400000,96.800000,2.450000,2.526750
24.000000,15,95.600000,96.800000,2.572000,2.596500
25.000000,15,96.800000,97.800000,2.690000,2.687500
26.000000,15,97.200000,98.000000,2.805000,2.782000
27.000000,15,96.400000,97.300000,2.911500,2.849000
28.000000,15,96.600000,96.500000,3.013000,2.918500
29.000000,15,97.200000,97.400000,3.168000,3.038750
30.000000,15,97.100000,97.400000,3.270250,3.117500
31.000000,15,97.500000,97.400000,3.399500,3.204750
32.000000,15,97.900000,97.700000,3.491500,3.280000
33.000000,15,97.200000,96.900000,3.586000,3.342500
34.000000,15,97.200000,97.000000,3.733000,3.442000
35.000000,15,97.700000,96.900000,3.848500,3.544250
36.000000,15,98.000000,97.200000,3.991750,3.645750
37.000000,15,97.000000,96.400000,4.070500,3.713500
38.000000,15,97.800000,97.400000,4.142500,3.749500
39.000000,15,98.400000,97.600000,4.305500,3.867500
40.000000,15,97.600000,96.600000,4.388750,3.947000
41.000000,15,97.900000,97.400000,4.522750,4.044250
42.000000,15,98.400000,97.300000,4.656250,4.133250
43.000000,15,97.800000,97.000000,4.745500,4.195750
44.000000,15,98.000000,96.700000,4.862500,4.279500
45.000000,15,98.500000,97.200000,4.976750,4.380250
46.000000,15,97.500000,96.300000,5.057250,4.442500
47.000000,15,98.200000,96.500000,5.206750,4.544750
48.000000,15,98.400000,97.100000,5.349000,4.646750
49.000000,15,98.600000,97.800000,5.439750,4.714500
50.000000,15,98.800000,98.000000,5.597500,4.837750
51.000000,15,98.000000,96.700000,5.706000,4.912750
52.000000,15,97.900000,96.800000,5.771750,4.956500
53.000000,15,98.400000,97.500000,5.904500,5.061500
54.000000,15,98.000000,96.900000,6.008000,5.117000
55.000000,15,97.200000,95.600000,6.127000,5.219500
56.000000,15,99.000000,97.700000,6.252750,5.325000
57.000000,15,98.000000,96.700000,6.387000,5.414250
58.000000,15,98.300000,96.300000,6.536500,5.535250
59.000000,15,98.200000,96.400000,6.595500,5.595500
60.000000,15,98.200000,96.900000,6.668000,5.651750
61.000000,15,97.700000,96.800000,6.809750,5.753000
62.000000,15,98.500000,97.200000,6.981500,5.868000
63.000000,15,98.000000,95.900000,7.068000,5.931750
64.000000,15,98.400000,96.400000,7.233000,6.066500
65.000000,15,98.500000,96.900000,7.299250,6.097750
66.000000,15,98.800000,97.400000,7.386750,6.170750
67.000000,15,98.500000,97.000000,7.457000,6.226000
