T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,95.0,98.3,3.57475,3.72125
25,93.10000000000001,98.5,4.0305,4.1925
30,94.8,98.7,4.41125,4.5155
35,94.3,98.8,4.86425,4.8955
40,94.6,98.3,5.31375,5.24525
45,95.1,98.4,5.683,5.581
50,94.69999999999999,98.5,6.37325,6.13575
55,93.4,98.5,6.82325,6.5765
60,95.6,99.2,7.402,7.0915
65,96.3,98.8,8.10075,7.76575
70,95.0,98.3,8.844,8.48775
75,96.5,98.7,9.846,9.38525
80,95.19999999999999,97.7,10.53075,10.11075
85,95.39999999999999,98.0,11.54475,11.169
90,95.19999999999999,97.39999999999999,12.439,12.11675
95,96.5,98.3,13.7375,13.42025
100,94.6,96.7,14.65575,14.45475
105,95.5,97.3,15.84725,15.76625
110,96.0,98.0,17.1045,17.2235
115,94.39999999999999,95.8,18.1945,18.3615
120,95.0,96.89999999999999,19.72875,20.0285
125,94.0,97.0,20.81775,21.254
130,95.5,97.3,22.29125,22.9615
135,92.9,95.1,23.42325,24.305
140,93.8,95.89999999999999,25.47275,26.553
145,94.89999999999999,96.89999999999999,27.231,28.703
150,94.0,96.89999999999999,28.184,29.9185
155,94.1,96.2,30.7115,32.71325
160,93.89999999999999,96.6,31.8345,34.207
165,91.60000000000001,94.39999999999999,33.4305,36.28175
170,93.89999999999999,95.3,35.86175,38.97675
175,94.8,96.5,37.845,41.38525
180,93.60000000000001,95.89999999999999,39.70025,43.3395
185,93.8,96.5,41.67825,45.61975
190,94.8,96.89999999999999,44.10825,48.219
195,92.30000000000001,95.3,45.3295,49.815
200,92.80000000000001,95.39999999999999,47.8545,52.729
205,92.30000000000001,95.6,50.4035,54.75425
210,93.5,95.8,52.6135,56.99225
215,92.30000000000001,95.3,54.3005,58.3975
220,93.0,95.1,57.43125,60.81475
225,94.1,96.0,59.6955,62.69925
230,91.10000000000001,93.30000000000001,60.739,63.19575
235,91.9,92.10000000000001,61.68975,63.11575
240,92.7,94.1,64.9315,64.931
245,92.10000000000001,92.30000000000001,64.823,64.0545
250,92.4,92.60000000000001,65.7965,63.72
255,92.10000000000001,93.4,65.18075,62.8035
260,92.60000000000001,93.60000000000001,64.54725,61.214
265,92.9,95.1,62.37325,58.9735
270,94.0,95.5,59.5405,56.0405
275,93.7,95.8,58.91225,55.478
280,94.19999999999999,96.8,56.455,53.321
285,94.0,96.2,53.59825,51.43525
290,96.1,96.8,50.7125,49.0845
295,94.8,94.19999999999999,48.16425,47.692
300,96.1,94.3,46.177,46.4645
