T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,92.7,97.3,4.2525,4.74225
25,93.7,97.39999999999999,4.6005,5.12975
30,92.10000000000001,96.6,5.09925,5.6305
35,92.5,97.7,5.66825,6.21125
40,92.5,97.39999999999999,6.272,6.76275
45,93.30000000000001,97.6,6.941,7.45875
50,92.10000000000001,97.6,7.793,8.33175
55,93.30000000000001,98.1,8.47575,8.98825
60,92.30000000000001,97.1,9.0285,9.6385
65,93.60000000000001,97.7,9.961,10.52375
70,93.5,98.2,10.948,11.60175
75,92.7,96.8,11.7425,12.52875
80,92.7,97.0,12.82825,13.635
85,91.7,97.39999999999999,13.7695,14.67925
90,92.7,97.39999999999999,14.95925,15.99375
95,93.0,97.7,16.074,17.29125
100,92.0,96.89999999999999,17.4605,18.858
105,91.9,96.2,18.269,19.828
110,92.60000000000001,97.6,19.689,21.4215
115,93.2,96.8,20.883,22.8515
120,93.5,97.1,22.72175,24.869
125,92.5,96.7,23.499,25.951
130,92.9,96.8,25.3225,28.0595
135,93.2,97.0,26.014,29.078
140,92.30000000000001,96.6,27.88225,31.22325
145,93.89999999999999,97.3,29.81975,33.392
150,91.9,96.1,31.7435,35.93825
155,91.5,95.39999999999999,32.72475,36.98225
160,93.2,96.7,35.35275,40.282
165,91.10000000000001,96.0,36.6525,41.72875
170,90.8,94.89999999999999,38.032,43.4915
175,90.4,95.39999999999999,40.17825,46.18625
180,91.60000000000001,96.0,41.768,48.1235
185,92.30000000000001,96.3,44.21025,50.9465
190,91.9,97.2,46.18725,53.0385
195,90.3,94.39999999999999,46.88625,54.037
200,90.5,95.39999999999999,49.9735,57.34475
205,90.2,94.3,51.88525,59.23725
210,91.10000000000001,94.8,54.69625,62.229
215,91.10000000000001,95.5,56.44825,63.89125
220,90.60000000000001,94.6,59.66375,66.25825
225,91.10000000000001,95.0,60.5845,66.55625
230,91.5,95.1,62.19825,67.71025
235,91.4,93.8,64.89525,69.32325
240,93.0,95.1,67.6535,70.8275
245,90.10000000000001,93.0,65.843,68.29325
250,92.2,94.1,68.21225,69.329
255,91.2,93.30000000000001,65.77275,66.64325
260,91.7,94.3,66.63275,66.508
265,91.8,94.69999999999999,64.743,64.51825
270,90.9,95.0,62.567,62.097
275,92.10000000000001,95.89999999999999,61.69875,61.078
280,94.0,96.8,58.7765,58.52525
285,95.1,96.3,56.164,56.63075
290,93.4,94.6,53.40325,54.545
295,94.39999999999999,95.0,51.097,53.45825
300,94.8,93.30000000000001,48.0565,51.4425
