T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,96.3,98.3,1.92525,2.032
21,97.1,99.2,2.03,2.10375
22,97.3,98.8,2.1075,2.14075
23,96.1,98.3,2.177,2.19775
24,97.0,98.8,2.294,2.276
25,96.89999999999999,98.2,2.35625,2.31275
26,96.2,97.7,2.50575,2.41525
27,96.6,97.6,2.5595,2.45675
28,97.39999999999999,98.4,2.6435,2.51025
29,97.39999999999999,97.89999999999999,2.76325,2.59
30,97.8,98.4,2.82975,2.635
31,97.89999999999999,98.4,2.90875,2.6875
32,98.2,98.7,3.06075,2.7745
33,97.6,97.89999999999999,3.0905,2.802
34,98.0,98.6,3.19775,2.87175
35,97.7,98.6,3.285,2.9425
36,97.39999999999999,97.89999999999999,3.3715,2.99525
37,97.7,97.7,3.4265,3.03025
38,98.1,98.1,3.53125,3.10025
39,98.3,98.6,3.6325,3.18375
40,98.1,98.7,3.6655,3.203
41,98.8,98.7,3.77475,3.2675
42,97.6,97.6,3.89525,3.3405
43,97.5,97.7,3.9545,3.40175
44,98.0,98.2,4.067,3.48125
45,98.8,98.9,4.13025,3.50925
46,98.2,98.3,4.219,3.5675
47,98.3,98.0,4.3015,3.63375
48,98.3,98.1,4.4225,3.708
49,99.0,98.6,4.48075,3.74525
50,98.0,98.3,4.56325,3.8025
51,98.3,98.1,4.69675,3.9015
52,97.89999999999999,97.8,4.74725,3.94
53,98.7,98.8,4.8265,3.987
54,98.3,98.5,4.9045,4.048
55,99.2,99.1,5.041,4.1345
56,98.1,98.2,5.127,4.2045
57,99.1,98.6,5.25075,4.27425
58,98.6,98.4,5.3235,4.3295
59,99.0,99.0,5.45925,4.42125
60,99.3,99.2,5.50875,4.463
61,98.9,98.4,5.653,4.5555
62,98.7,98.7,5.7125,4.60475
63,98.0,97.8,5.77025,4.6495
64,98.5,98.2,5.87075,4.72775
65,99.2,99.3,6.0555,4.82725
66,98.7,98.1,6.10125,4.88075
67,98.2,97.89999999999999,6.15575,4.922
68,98.3,98.4,6.31875,5.02425
69,98.8,98.0,6.3755,5.07525
