T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,96.3,98.4,2.11025,2.2735
25,95.89999999999999,96.0,2.57,2.612
30,97.2,97.2,3.0755,2.964
35,98.2,97.39999999999999,3.5035,3.289
40,97.5,96.7,3.95875,3.6355
45,98.2,97.8,4.4155,3.9575
50,98.6,97.8,4.9595,4.35925
55,98.0,96.3,5.42775,4.70925
60,97.89999999999999,97.0,5.92025,5.077
65,98.6,97.2,6.487,5.52525
70,98.1,96.39999999999999,7.01775,5.897
75,98.5,97.1,7.57825,6.35425
80,98.5,97.1,8.20925,6.8065
85,98.6,96.6,8.91175,7.33825
90,98.7,97.89999999999999,9.55325,7.8395
95,98.2,96.0,10.443,8.5475
100,98.7,97.2,11.0835,9.0385
105,98.7,96.7,11.815,9.5895
110,98.6,96.6,12.719,10.3255
115,98.4,96.1,13.7035,11.096
120,98.5,96.3,14.522,11.7765
125,98.3,96.8,15.33625,12.39125
130,98.7,96.89999999999999,16.23775,13.1225
135,98.3,96.6,17.247,13.90625
140,98.3,97.2,18.29475,14.747
145,99.0,97.3,19.158,15.4155
150,98.8,97.3,20.2465,16.297
155,98.1,95.89999999999999,21.2515,17.18025
160,98.4,95.89999999999999,22.63625,18.23575
165,98.5,97.3,23.716,19.10175
170,98.4,96.8,24.74625,19.92025
175,98.4,96.6,25.863,20.8635
180,98.8,96.7,27.189,21.94225
185,98.2,95.8,28.38675,22.86975
190,98.5,96.7,29.7945,24.02975
195,98.6,96.6,31.3145,25.27275
200,99.2,96.89999999999999,32.44075,26.1755
205,98.3,96.8,33.83475,27.31725
210,98.1,95.89999999999999,35.333,28.615
215,98.5,95.7,36.57625,29.615
220,97.7,95.0,38.393,31.0745
225,99.0,97.6,39.95675,32.319
230,98.1,96.1,41.5065,33.638
235,98.0,96.39999999999999,42.8095,34.71375
240,98.3,96.39999999999999,44.50175,36.0645
245,98.2,95.6,46.1585,37.43775
250,98.1,95.89999999999999,47.521,38.57525
255,98.1,94.3,49.33175,39.87575
260,98.3,93.2,50.1775,40.582
265,97.6,93.10000000000001,50.131,40.51425
270,98.8,94.5,49.7295,40.11075
275,98.4,95.1,47.925,38.64525
280,98.2,96.1,45.11525,36.39575
285,99.5,98.1,42.0845,33.90975
290,99.4,98.2,37.9265,30.56125
295,99.3,96.6,34.19375,27.716
300,99.1,95.5,31.04925,25.3315
