T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,95.19999999999999,98.1,3.50825,3.48025
25,93.8,98.4,3.874,3.95425
30,93.8,98.3,4.20825,4.33125
35,93.30000000000001,98.7,4.6325,4.8105
40,92.5,98.3,5.13225,5.3
45,94.3,98.4,5.53075,5.75825
50,93.89999999999999,98.2,6.26175,6.4165
55,92.60000000000001,98.4,6.77725,7.00075
60,94.6,99.0,7.37025,7.55075
65,94.1,98.2,8.071,8.28975
70,93.0,97.89999999999999,8.83,9.018
75,95.6,98.3,9.7645,9.8595
80,93.5,98.1,10.41575,10.5475
85,93.89999999999999,98.0,11.3,11.45075
90,93.8,97.39999999999999,12.14925,12.28775
95,95.8,98.4,13.3845,13.4585
100,93.30000000000001,96.39999999999999,14.176,14.34125
105,94.5,96.8,15.2385,15.42775
110,94.69999999999999,97.39999999999999,16.35425,16.67775
115,94.0,95.3,17.33075,17.57975
120,94.39999999999999,96.89999999999999,18.77925,19.0125
125,93.8,96.0,19.7585,19.98025
130,93.89999999999999,95.7,20.925,21.28925
135,92.30000000000001,94.19999999999999,22.14025,22.56725
140,92.9,94.69999999999999,23.91325,24.37725
145,94.1,95.8,25.38025,26.022
150,93.2,95.0,26.275,27.026
155,92.80000000000001,94.19999999999999,28.46125,29.272
160,92.30000000000001,94.89999999999999,29.42775,30.5235
165,91.4,92.9,30.80925,32.1385
170,93.60000000000001,93.30000000000001,33.01425,34.30925
175,93.7,95.3,34.7355,36.46
180,92.4,93.8,36.2915,37.9605
185,92.60000000000001,94.6,38.2295,39.94675
190,93.4,93.89999999999999,39.90025,41.7435
195,90.8,92.30000000000001,41.0515,43.1025
200,91.0,93.10000000000001,43.268,45.793
205,90.60000000000001,92.10000000000001,45.51675,47.5185
210,91.4,93.60000000000001,47.86475,49.83575
215,90.4,91.3,48.6425,50.5145
220,91.60000000000001,92.4,51.87975,53.26675
225,91.8,92.7,53.5865,54.7105
230,89.60000000000001,90.5,54.8955,55.8195
235,88.4,88.7,55.94425,55.92225
240,90.60000000000001,90.5,58.746,57.8105
245,88.1,87.3,58.97425,57.37
250,90.8,89.7,60.512,57.66975
255,90.3,89.5,60.0535,56.96175
260,89.60000000000001,88.8,60.03775,55.872
265,89.4,91.2,58.27425,54.1145
270,89.9,90.4,55.87075,51.5185
275,89.9,92.10000000000001,55.51875,51.1445
280,91.7,94.0,53.501,49.2005
285,92.4,93.30000000000001,50.88775,47.5875
290,93.89999999999999,94.19999999999999,48.4495,45.5795
295,92.4,91.8,46.04775,44.119
300,93.89999999999999,91.2,44.50025,43.29775
