T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,92.5,97.0,4.29425,4.6365
25,93.30000000000001,97.3,4.519,4.99225
30,92.2,95.89999999999999,4.89425,5.41725
35,91.5,97.3,5.37,6.0095
40,91.10000000000001,96.7,5.86575,6.526
45,90.4,96.6,6.5075,7.26725
50,90.2,97.1,7.28425,8.12
55,91.3,97.0,7.8865,8.7695
60,90.7,96.7,8.454,9.43325
65,91.4,96.7,9.30575,10.2915
70,89.60000000000001,96.7,10.2305,11.326
75,91.0,95.89999999999999,10.9865,12.1775
80,90.2,96.1,12.03475,13.225
85,89.4,96.39999999999999,12.974,14.24525
90,91.0,96.7,14.12675,15.48775
95,91.60000000000001,97.1,15.2085,16.718
100,90.5,96.0,16.5375,18.146
105,90.8,95.6,17.386,19.0585
110,90.7,97.0,18.71,20.4905
115,92.4,96.39999999999999,19.92075,21.85025
120,92.5,96.7,21.67675,23.637
125,91.5,96.0,22.469,24.6575
130,91.0,96.0,24.084,26.385
135,92.10000000000001,96.6,25.0035,27.5675
140,90.60000000000001,96.1,26.87125,29.52675
145,93.2,96.8,28.5615,31.291
150,91.4,95.19999999999999,30.51125,33.6345
155,89.7,95.1,31.3715,34.5415
160,91.5,96.39999999999999,33.91825,37.441
165,89.8,94.6,34.95325,38.5785
170,89.60000000000001,93.89999999999999,36.58125,40.39925
175,89.0,94.6,38.7435,42.94575
180,91.8,95.19999999999999,40.129,44.4685
185,92.7,95.3,42.40175,46.85975
190,90.60000000000001,95.7,44.461,49.128
195,88.1,93.8,44.82125,49.6835
200,88.9,93.7,47.85875,52.935
205,87.2,92.60000000000001,49.51775,54.57725
210,89.1,93.10000000000001,52.8245,58.04975
215,89.5,94.0,53.85375,59.14925
220,89.8,93.4,57.08125,61.8285
225,90.8,94.1,58.21975,62.5705
230,90.3,93.60000000000001,59.19575,63.43925
235,89.4,92.7,61.92725,65.34775
240,90.8,93.60000000000001,65.69125,67.854
245,87.4,91.60000000000001,63.845,65.777
250,90.8,93.5,67.00775,67.416
255,89.7,92.10000000000001,64.90775,65.1395
260,87.8,91.60000000000001,65.988,65.296
265,89.4,93.7,64.605,63.75425
270,87.3,91.2,62.9705,61.74075
275,89.5,93.0,62.7605,61.28325
280,92.4,95.3,60.661,59.373
285,92.7,95.0,58.1845,57.463
290,91.0,92.80000000000001,55.7915,55.81275
295,92.7,92.9,53.91225,54.903
300,92.2,90.8,51.04425,52.971
