T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,95.89999999999999,98.5,2.11875,2.1715
21,97.89999999999999,99.2,2.2325,2.2545
22,97.6,99.0,2.27175,2.26525
23,96.7,98.5,2.3525,2.32825
24,97.8,99.1,2.472,2.4085
25,97.0,98.4,2.54675,2.458
26,96.7,97.6,2.69925,2.569
27,97.2,98.1,2.7585,2.60375
28,96.5,98.1,2.8165,2.652
29,96.2,97.7,2.92675,2.72025
30,96.89999999999999,97.3,3.00375,2.77675
31,97.5,98.5,3.102,2.84575
32,97.1,98.5,3.216,2.9225
33,97.0,97.7,3.27275,2.96375
34,97.1,98.0,3.36875,3.02525
35,96.5,98.4,3.4435,3.087
36,97.0,97.6,3.56425,3.173
37,97.3,97.7,3.56175,3.1685
38,97.3,97.8,3.69075,3.257
39,97.5,98.6,3.804,3.34775
40,97.7,97.89999999999999,3.85175,3.3775
41,97.2,98.3,3.98375,3.4555
42,96.6,97.3,4.03475,3.511
43,96.89999999999999,97.39999999999999,4.15175,3.5975
44,96.89999999999999,97.7,4.25375,3.6585
45,97.89999999999999,98.9,4.3055,3.693
46,97.5,97.5,4.40925,3.77125
47,97.6,97.89999999999999,4.47175,3.8165
48,97.89999999999999,97.89999999999999,4.56625,3.88475
49,97.1,98.2,4.60875,3.92625
50,97.6,98.5,4.69425,3.97875
51,96.6,97.7,4.82675,4.08175
52,96.39999999999999,97.1,4.916,4.14025
53,96.8,97.5,4.923,4.154
54,97.5,97.89999999999999,5.0525,4.2395
55,98.5,98.9,5.2,4.3385
56,96.0,97.39999999999999,5.22475,4.375
57,96.7,97.2,5.35525,4.44525
58,97.5,98.1,5.39,4.49075
59,98.1,98.2,5.4935,4.559
60,97.8,98.4,5.58625,4.62725
61,97.8,98.0,5.70275,4.7025
62,97.3,97.7,5.7135,4.7125
63,96.5,97.2,5.7775,4.775
64,96.39999999999999,97.5,5.859,4.8365
65,97.1,97.5,5.99075,4.9195
66,97.2,97.6,6.03225,4.9625
67,96.39999999999999,96.89999999999999,6.12525,5.01875
68,97.2,97.6,6.213,5.08975
69,97.2,96.89999999999999,6.28075,5.1315
70,96.3,96.2,6.33225,5.16825
71,96.7,97.2,6.47875,5.28075
72,96.3,96.8,6.48125,5.27425
73,96.1,96.39999999999999,6.61975,5.37425
74,97.2,97.2,6.74075,5.46175
75,97.0,97.7,6.8035,5.51025
76,96.2,97.1,6.91975,5.591
77,96.6,96.6,6.9685,5.62375
78,96.2,96.39999999999999,7.03375,5.68875
79,98.0,98.1,7.18,5.7785
80,96.5,97.0,7.19175,5.82075
81,96.8,97.0,7.323,5.908
82,96.1,96.39999999999999,7.44175,5.99175
83,96.3,96.6,7.56375,6.07925
84,97.0,96.39999999999999,7.63375,6.14875
85,96.89999999999999,96.89999999999999,7.75925,6.23175
86,96.6,96.7,7.9085,6.3395
87,96.1,96.6,7.9735,6.38025
88,95.89999999999999,96.1,8.0355,6.441
89,96.8,96.6,8.191,6.548
90,97.39999999999999,97.2,8.36025,6.6485
91,97.8,97.0,8.43725,6.70775
92,96.89999999999999,96.6,8.643,6.878
93,95.6,95.39999999999999,8.68075,6.89775
94,96.7,96.2,8.66275,6.92225
95,96.89999999999999,96.2,8.84,7.02775
96,96.3,96.0,9.0445,7.178
97,95.89999999999999,96.5,9.163,7.26325
98,96.0,96.3,9.24625,7.32925
99,97.1,96.1,9.34925,7.41075
100,96.39999999999999,95.7,9.52975,7.5215
101,97.39999999999999,96.6,9.668,7.622
102,97.39999999999999,97.0,9.662,7.62875
103,96.89999999999999,96.8,9.789,7.73825
104,95.6,95.8,9.8765,7.82425
105,96.5,95.0,10.1425,8.003
106,96.3,95.89999999999999,10.181,8.0395
