T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
20,96.6,97.89999999999999,2.30825,2.44225
25,95.8,95.89999999999999,2.793,2.78
30,96.89999999999999,96.89999999999999,3.25275,3.124
35,97.39999999999999,96.89999999999999,3.70125,3.468
40,95.8,95.3,4.1525,3.8125
45,95.7,95.1,4.62125,4.15425
50,96.89999999999999,95.6,5.12475,4.542
55,97.2,94.8,5.559,4.8835
60,96.5,95.0,6.0205,5.23825
65,96.8,93.89999999999999,6.53625,5.64675
70,95.0,92.7,6.94975,5.94525
75,94.5,91.8,7.34325,6.2625
80,95.89999999999999,93.10000000000001,7.92375,6.703
85,95.8,93.7,8.4975,7.12575
90,96.8,94.19999999999999,9.05475,7.5755
95,95.1,92.5,9.94325,8.2805
100,95.3,91.9,10.469,8.68375
105,95.0,92.10000000000001,10.91825,9.0615
110,95.1,91.9,11.64725,9.597
115,94.39999999999999,91.5,12.55375,10.30925
120,95.0,92.0,13.2535,10.883
125,94.6,91.60000000000001,13.91325,11.39575
130,95.3,92.7,14.6185,11.96625
135,94.5,90.5,15.49225,12.625
140,96.0,93.8,16.38125,13.331
145,95.7,92.2,16.848,13.69325
150,95.3,91.10000000000001,17.78325,14.448
155,93.30000000000001,89.3,18.6295,15.15375
160,95.19999999999999,91.4,19.7745,16.10475
165,94.0,89.60000000000001,20.48575,16.621
170,94.89999999999999,90.8,21.3825,17.3525
175,94.19999999999999,89.9,22.07975,17.9335
180,95.89999999999999,91.5,23.3395,18.86625
185,93.60000000000001,89.7,24.24875,19.58175
190,94.0,89.7,25.197,20.416
195,94.3,89.60000000000001,26.2835,21.26275
200,92.7,88.2,27.158,21.9545
205,93.0,89.1,28.3325,22.91825
210,93.4,88.6,29.54675,23.8595
215,93.89999999999999,88.6,30.6285,24.7095
220,92.30000000000001,88.0,31.841,25.6745
225,93.4,89.0,32.94075,26.6515
230,92.60000000000001,87.6,33.958,27.45825
235,91.4,86.4,34.89425,28.10475
240,91.3,85.8,35.719,28.85
245,91.10000000000001,86.4,37.52275,30.30875
250,93.10000000000001,86.3,38.458,31.041
255,93.10000000000001,86.1,39.9465,32.159
260,91.7,85.9,40.87975,32.99275
265,90.7,82.8,41.0995,33.12625
270,92.0,84.2,41.7105,33.49875
275,92.0,83.6,40.656,32.64875
280,91.60000000000001,84.6,39.47675,31.64975
285,93.10000000000001,87.1,36.35125,29.155
290,95.3,92.10000000000001,33.83475,27.077
295,95.5,92.10000000000001,30.387,24.3925
300,94.69999999999999,87.7,27.50475,22.16675
